game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag
81,6,3,Gold 3,5/9/2023,Killjoy,Bind,Loss,9,13,12,17,1,0.7,-49,20,84,136,5
82,6,3,Gold 3,5/9/2023,Cypher,Haven,Loss,8,13,12,17,6,0.7,-21,19,117,183,3
83,6,3,Gold 3,5/17/2023,Cypher,Bind,Win,13,1,14,6,4,2.3,24,7,120,227,2
84,6,3,Gold 3,5/17/2023,Cypher,Lotus,Loss,9,13,22,18,6,1.2,27,18,194,287,1
85,6,3,Gold 3,5/17/2023,Cypher,Fracture,Loss,7,13,18,13,6,1.4,47,16,171,259,2
86,6,3,Gold 3,5/17/2023,Cypher,Split,Loss,9,13,22,15,3,1.5,43,9,169,272,1
87,6,3,Gold 2,5/17/2023,Cypher,Split,Loss,13,15,18,22,5,0.8,-19,18,122,192,3
88,6,3,Gold 3,5/17/2023,Cypher,Haven,Loss,2,13,13,14,4,0.9,5,8,152,252,1
89,6,3,Gold 3,5/17/2023,Cypher,Ascent,Win,13,8,13,13,5,1.0,-14,13,101,158,2
90,6,3,Gold 3,5/17/2023,Cypher,Haven,Loss,4,13,8,16,2,0.5,-39,12,116,171,4
91,6,3,Gold 3,5/18/2023,Cypher,Pearl,Win,13,2,11,10,7,1.1,23,7,135,215,5
92,6,3,Gold 3,5/18/2023,Cypher,Lotus,Win,13,2,16,9,4,1.8,14,8,157,264,1
93,6,3,Gold 3,5/18/2023,Cypher,Split,Draw,15,15,24,21,9,1.1,6,12,144,223,1
94,6,3,Gold 3,5/18/2023,Cypher,Fracture,Win,13,8,19,13,6,1.5,22,13,146,232,2
95,6,3,Gold 3,5/18/2023,Cypher,Ascent,Win,13,9,18,16,7,1.1,42,17,165,242,4
96,6,3,Gold 3,5/18/2023,Cypher,Bind,Loss,12,14,14,21,11,0.7,-17,15,133,195,4
97,6,3,Gold 3,5/18/2023,Cypher,Pearl,Loss,11,13,20,16,2,1.3,42,11,154,252,2
98,6,3,Gold 3,5/19/2023,Cypher,Split,Loss,10,13,14,19,6,0.7,10,19,153,203,2
99,6,3,Gold 3,5/19/2023,Cypher,Fracture,Win,13,3,17,6,6,2.8,68,14,147,263,1
100,6,3,Gold 3,5/19/2023,Cypher,Lotus,Loss,9,13,21,16,4,1.3,21,13,147,255,1
101,6,3,Gold 3,5/19/2023,Cypher,Pearl,Loss,5,13,4,17,4,0.2,-89,11,67,92,5
102,6,3,Gold 3,5/19/2023,Cypher,Fracture,Loss,11,13,17,17,5,1.0,14,18,147,221,3
103,6,3,Gold 3,5/19/2023,Cypher,Pearl,Loss,12,14,11,18,6,0.6,-24,4,100,141,5
104,6,3,Gold 3,5/19/2023,Cypher,Bind,Win,13,6,18,10,3,1.8,17,9,122,216,1
105,6,3,Gold 3,5/19/2023,Cypher,Lotus,Win,13,9,27,12,14,2.3,110,13,178,278,1
106,6,3,Gold 3,5/19/2023,Cypher,Ascent,Win,13,9,22,13,7,1.7,60,13,178,278,1
107,6,3,Gold 3,5/19/2023,Cypher,Ascent,Loss,5,13,16,15,1,1.1,1,18,145,252,1
108,6,3,Gold 3,5/20/2023,Cypher,Haven,Loss,4,13,10,14,4,0.7,-21,13,125,192,2
109,6,3,Gold 3,5/20/2023,Cypher,Lotus,Loss,12,14,25,21,4,1.2,30,21,157,270,1
110,6,3,Gold 3,5/20/2023,Cypher,Haven,Loss,4,13,6,10,4,0.6,-13,17,82,101,5
111,6,3,Gold 3,5/21/2023,Cypher,Lotus,Win,13,7,18,12,3,1.5,27,14,157,259,2
112,6,3,Platinum 1,5/21/2023,Cypher,Pearl,Win,13,10,19,14,4,1.4,3,14,121,213,3
113,6,3,Platinum 1,5/22/2023,Cypher,Ascent,Win,13,10,17,14,7,1.2,21,8,140,233,2
114,6,3,Gold 3,5/22/2023,Cypher,Ascent,Loss,3,13,12,13,5,0.9,40,17,155,240,2
115,6,3,Gold 3,5/22/2023,Cypher,Fracture,Loss,7,13,14,15,3,0.9,10,16,147,221,2
116,6,3,Gold 3,5/22/2023,Cypher,Bind,Win,13,11,17,18,4,0.9,-27,11,122,200,3
117,6,3,Gold 3,5/22/2023,Cypher,Lotus,Loss,4,13,20,16,3,1.3,30,13,192,339,1
118,6,3,Gold 3,5/22/2023,Cypher,Split,Win,13,9,9,13,9,0.7,-18,11,96,130,5
119,6,3,Gold 3,5/22/2023,Cypher,Bind,Loss,7,13,12,16,6,0.8,-59,10,88,155,3
120,6,3,Gold 3,5/22/2023,Cypher,Split,Win,13,11,20,20,7,1.0,26,11,160,237,2
121,6,3,Gold 3,5/22/2023,Cypher,Bind,Loss,11,13,12,15,4,0.8,-24,7,88,140,4
122,6,3,Gold 3,5/22/2023,Cypher,Lotus,Loss,10,13,20,16,5,1.3,5,10,140,231,2
123,6,3,Gold 3,5/23/2023,Cypher,Haven,Loss,7,13,25,13,2,1.9,87,19,206,343,1
124,6,3,Gold 3,5/23/2023,Cypher,Pearl,Loss,7,13,20,15,3,1.3,38,15,179,288,1
125,6,3,Gold 3,5/23/2023,Cypher,Pearl,Win,14,12,25,19,6,1.3,28,21,152,255,1
126,6,3,Gold 3,5/23/2023,Cypher,Haven,Win,13,6,18,11,2,1.6,38,14,154,261,3
127,6,3,Gold 3,5/23/2023,Cypher,Fracture,Win,13,7,18,17,10,1.1,48,15,204,291,2
128,6,3,Platinum 1,5/23/2023,Cypher,Lotus,Draw,14,14,25,17,4,1.5,35,13,152,243,1
129,6,3,Platinum 1,5/24/2023,Cypher,Bind,Win,13,7,17,10,4,1.7,33,22,141,228,2
130,6,3,Platinum 1,5/24/2023,Cypher,Split,Loss,10,13,16,16,7,1.0,30,8,171,236,2
131,6,3,Platinum 1,5/24/2023,Cypher,Ascent,Win,13,8,19,12,6,1.6,11,18,137,217,2
132,6,3,Platinum 1,5/28/2023,Cypher,Ascent,Loss,8,13,17,15,3,1.1,11,29,141,224,3
133,6,3,Platinum 1,5/28/2023,Cypher,Lotus,Win,13,10,23,17,10,1.4,59,14,182,304,1
134,6,3,Gold 3,5/29/2023,Cypher,Ascent,Loss,9,13,12,16,8,0.8,-15,16,114,178,4
135,6,3,Gold 3,5/29/2023,Cypher,Pearl,Loss,7,13,10,14,7,0.7,-25,9,106,163,3
136,6,3,Gold 3,5/29/2023,Cypher,Haven,Loss,5,13,9,17,3,0.5,-60,15,105,160,4
137,6,3,Platinum 1,5/29/2023,Cypher,Bind,Win,14,12,27,17,5,1.6,49,15,169,298,1
138,6,3,Platinum 1,5/30/2023,Cypher,Haven,Win,13,5,20,9,6,2.2,95,20,203,311,1
139,6,3,Platinum 1,5/30/2023,Cypher,Lotus,Loss,4,13,13,13,5,1.0,35,24,169,247,1
140,6,3,Platinum 1,5/30/2023,Cypher,Bind,Win,4,2,5,2,2,2.5,78,25,146,227,3
141,6,3,Platinum 1,5/30/2023,Cypher,Ascent,Loss,11,13,15,17,5,0.9,-20,8,113,183,3
142,6,3,Platinum 1,5/30/2023,Cypher,Haven,Loss,8,13,12,17,5,0.7,-16,9,125,180,4
143,6,3,Platinum 1,5/31/2023,Cypher,Fracture,Win,7,3,11,5,3,2.2,44,14,156,277,1
144,6,3,Platinum 1,5/31/2023,Cypher,Lotus,Win,13,10,15,18,10,0.8,-2,9,140,213,2
145,6,3,Platinum 1,5/31/2023,Cypher,Split,Win,14,12,12,17,12,0.7,-12,5,117,166,5
146,6,3,Platinum 1,5/31/2023,Cypher,Lotus,Loss,4,13,13,14,4,0.9,-5,8,137,223,2
147,6,3,Platinum 1,6/1/2023,Cypher,Ascent,Win,13,4,17,7,3,2.4,59,12,149,262,1
148,6,3,Platinum 1,6/1/2023,Cypher,Pearl,Win,13,5,15,8,4,1.9,36,10,140,220,2
149,6,3,Platinum 1,6/1/2023,Cypher,Split,Loss,5,13,11,15,6,0.7,-26,8,136,215,3
150,6,3,Platinum 1,6/1/2023,Cypher,Ascent,Win,15,13,25,21,4,1.2,14,12,157,251,2
151,6,3,Platinum 2,6/2/2023,Cypher,Split,Win,13,10,15,15,2,1.0,-2,8,127,203,5
152,6,3,Platinum 2,6/2/2023,Cypher,Pearl,Win,13,7,15,11,10,1.4,40,6,146,222,2
153,6,3,Platinum 1,6/3/2023,Cypher,Fracture,Win,13,9,15,15,3,1.0,21,20,138,210,4
154,6,3,Platinum 1,6/3/2023,Cypher,Ascent,Loss,15,17,20,21,8,1.0,-17,11,118,188,3
155,6,3,Platinum 1,6/3/2023,Cypher,Lotus,Loss,7,13,18,16,7,1.1,18,9,158,253,2
156,6,3,Platinum 2,6/3/2023,Cypher,Haven,Win,13,4,19,9,6,2.1,89,17,193,306,1
157,6,3,Platinum 2,6/4/2023,Cypher,Split,Loss,12,14,21,21,4,1.0,-41,22,109,175,2
158,6,3,Platinum 1,6/4/2023,Cypher,Pearl,Loss,11,13,18,19,5,0.9,-7,10,140,221,3
159,6,3,Platinum 1,6/5/2023,Cypher,Fracture,Loss,5,13,10,16,2,0.6,-29,18,123,183,4
160,6,3,Platinum 1,6/5/2023,Cypher,Ascent,Loss,8,13,13,13,6,1.0,-9,18,119,183,4
161,6,3,Platinum 1,6/5/2023,Cypher,Bind,Loss,9,13,23,17,5,1.4,34,10,173,292,2
162,6,3,Platinum 1,6/5/2023,Cypher,Pearl,Loss,6,13,9,17,4,0.5,-60,11,89,146,4
163,6,3,Platinum 1,6/5/2023,Cypher,Lotus,Win,13,9,13,14,6,0.9,5,15,112,182,5
164,6,3,Platinum 1,6/5/2023,Cypher,Bind,Win,13,9,12,14,5,0.9,-22,6,99,154,5
165,6,3,Platinum 1,6/5/2023,Cypher,Pearl,Win,13,9,16,15,6,1.1,21,26,132,208,3
166,6,3,Platinum 1,6/6/2023,Cypher,Split,Win,13,2,14,5,3,2.8,76,21,150,229,4
167,6,3,Platinum 1,6/6/2023,Cypher,Haven,Loss,9,13,19,18,4,1.1,33,18,173,246,2
168,6,3,Platinum 2,6/6/2023,Cypher,Fracture,Win,13,11,13,20,13,0.7,-27,12,105,160,5
169,6,3,Platinum 2,6/11/2023,Cypher,Lotus,Win,13,6,20,14,6,1.4,32,22,175,305,2
170,6,3,Platinum 2,6/11/2023,Cypher,Haven,Win,13,9,12,16,3,0.8,-25,8,94,144,4
171,6,3,Platinum 2,6/11/2023,Cypher,Split,Loss,8,13,13,19,4,0.7,-40,4,121,189,2
172,6,3,Platinum 2,6/12/2023,Cypher,Bind,Win,13,6,17,10,9,1.7,45,13,162,245,2
173,6,3,Platinum 2,6/12/2023,Cypher,Bind,Win,13,6,23,10,7,2.3,83,11,179,331,1
174,6,3,Platinum 2,6/12/2023,Cypher,Lotus,Loss,5,13,12,16,4,0.8,-21,3,129,203,2
175,6,3,Platinum 2,6/12/2023,Cypher,Pearl,Win,13,11,17,16,8,1.1,9,8,130,209,4
176,6,3,Platinum 2,6/13/2023,Cypher,Haven,Win,13,9,16,15,5,1.1,0,20,123,188,3
177,6,3,Platinum 2,6/13/2023,Cypher,Split,Loss,7,13,9,16,6,0.6,-44,16,109,157,5
178,6,3,Platinum 2,6/13/2023,Cypher,Fracture,Win,13,7,9,9,5,1.0,11,12,102,158,4
179,6,3,Platinum 2,6/13/2023,Cypher,Ascent,Win,13,10,12,18,8,0.7,-18,5,133,182,5
180,6,3,Platinum 2,6/14/2023,Cypher,Pearl,Win,13,8,21,13,4,1.6,48,13,165,258,1
181,6,3,Platinum 2,6/14/2023,Cypher,Haven,Loss,2,13,15,13,2,1.2,21,17,194,309,1
182,6,3,Platinum 2,6/14/2023,Cypher,Lotus,Win,13,8,21,16,4,1.3,16,13,161,268,1
183,6,3,Platinum 2,6/15/2023,Cypher,Split,Win,13,11,20,18,8,1.1,38,26,188,276,3
184,6,3,Platinum 2,6/15/2023,Cypher,Bind,Loss,13,15,22,19,5,1.2,-15,17,131,208,2
185,6,3,Platinum 2,6/15/2023,Cypher,Fracture,Win,13,6,16,9,1,1.8,31,20,131,211,2
186,6,3,Platinum 2,6/16/2023,Cypher,Lotus,Loss,4,13,7,16,2,0.4,-59,23,85,135,3
187,6,3,Platinum 2,6/16/2023,Cypher,Bind,Win,13,10,23,12,2,1.9,58,23,85,135,2
188,6,3,Platinum 3,6/16/2023,Cypher,Pearl,Win,13,7,22,9,5,2.4,97,12,176,288,2
189,6,3,Platinum 3,6/16/2023,Cypher,Haven,Win,13,11,18,16,4,1.1,2,14,126,212,3
190,6,3,Platinum 3,6/17/2023,Cypher,Ascent,Win,13,6,13,8,6,1.6,78,18,140,202,4
191,6,3,Platinum 3,6/17/2023,Cypher,Lotus,Win,13,5,20,8,4,2.5,100,31,191,300,1
192,6,3,Platinum 3,6/17/2023,Cypher,Split,Win,13,9,25,14,4,1.8,66,19,198,317,1
193,6,3,Platinum 3,6/18/2023,Cypher,Lotus,Win,13,10,16,14,1,1.1,8,24,124,207,4
194,6,3,Platinum 3,6/18/2023,Cypher,Pearl,Win,15,13,19,21,5,0.9,-13,8,120,185,4
195,6,3,Platinum 3,6/18/2023,Cypher,Fracture,Loss,6,13,15,16,5,0.9,-8,13,146,229,2
196,6,3,Platinum 3,6/19/2023,Cypher,Ascent,Loss,5,13,12,14,4,0.9,-12,18,120,188,2
197,6,3,Platinum 3,6/19/2023,Cypher,Pearl,Loss,12,14,28,15,6,1.9,78,19,193,293,1
198,6,3,Platinum 3,6/20/2023,Cypher,Split,Win,13,7,10,13,5,0.8,-9,15,111,152,4
199,6,3,Platinum 3,6/20/2023,Cypher,Haven,Loss,10,13,20,14,3,1.4,38,30,141,230,1
200,6,3,Platinum 3,6/20/2023,Cypher,Lotus,Loss,10,13,12,15,4,0.8,-20,23,90,128,5
201,6,3,Platinum 3,6/20/2023,Cypher,Split,Win,13,4,9,11,8,0.8,-22,19,113,177,5
202,6,3,Platinum 3,6/21/2023,Cypher,Haven,Win,13,9,19,11,7,1.7,53,25,152,228,2
203,6,3,Platinum 3,6/21/2023,Cypher,Ascent,Loss,6,13,14,15,2,0.9,-25,26,105,186,1
204,6,3,Platinum 3,6/21/2023,Cypher,Lotus,Loss,8,13,14,16,2,0.9,-12,35,128,192,3
205,6,3,Platinum 3,6/21/2023,Cypher,Haven,Win,15,13,12,15,6,0.8,-13,14,101,140,5
206,6,3,Platinum 3,6/24/2023,Cypher,Fracture,Win,13,7,20,11,1,1.8,40,15,154,237,2
207,6,3,Platinum 3,6/24/2023,Cypher,Lotus,Win,13,9,21,14,7,1.5,23,14,144,240,1
208,6,3,Platinum 3,6/24/2023,Cypher,Bind,Loss,12,14,15,19,4,0.8,-22,13,107,169,5
209,6,3,Platinum 3,6/24/2023,Brimstone,Pearl,Win,13,7,12,13,12,0.9,-17,25,118,186,5
210,6,3,Platinum 3,6/25/2023,Cypher,Split,Win,13,8,10,15,12,0.7,-8,19,112,171,5
211,6,3,Platinum 3,6/25/2023,Cypher,Split,Loss,6,13,10,18,3,0.6,-34,20,120,166,3
212,6,3,Platinum 3,6/25/2023,Cypher,Bind,Win,13,4,14,7,5,2.0,85,24,155,220,3
213,6,3,Platinum 3,6/25/2023,Cypher,Ascent,Win,13,8,10,11,7,0.9,-8,42,73,114,5
214,6,3,Platinum 3,6/25/2023,Cypher,Haven,Loss,6,13,12,14,0,0.9,-41,24,94,161,2
215,6,3,Platinum 3,6/25/2023,Cypher,Lotus,Loss,6,13,11,15,3,0.7,-45,22,95,170,2
216,6,3,Platinum 3,6/25/2023,Cypher,Bind,Loss,12,14,16,21,3,0.8,-32,20,107,166,4
217,6,3,Platinum 3,6/25/2023,Cypher,Split,Win,13,10,17,18,8,0.9,-5,12,136,215,3
218,6,3,Platinum 3,6/25/2023,Cypher,Fracture,Win,13,11,17,14,5,1.2,25,23,136,190,4
219,6,3,Platinum 3,6/25/2023,Cypher,Pearl,Win,13,4,14,6,6,2.3,62,16,141,203,3
220,6,3,Platinum 3,6/25/2023,Cypher,Ascent,Loss,11,13,16,17,2,0.9,-25,12,100,162,4
221,6,3,Platinum 3,6/26/2023,Cypher,Bind,Loss,10,13,13,19,7,0.7,-20,12,120,179,5
222,6,3,Platinum 3,6/26/2023,Cypher,Split,Win,13,10,17,17,2,1.0,-9,10,122,195,3
223,6,3,Diamond 1,6/26/2023,Cypher,Split,Win,13,10,13,16,7,0.8,-14,12,110,169,4
224,6,3,Placement,6/26/2023,Cypher,Bind,Win,13,11,14,15,8,0.9,-8,15,103,172,4
225,7,1,Placement,6/27/2023,Killjoy,Fracture,Loss,11,13,18,16,3,1.1,-22,8,113,180,2
226,7,1,Placement,6/27/2023,Killjoy,Ascent,Loss,10,13,16,18,5,0.9,5,16,129,192,4
227,7,1,Placement,6/30/2023,Killjoy,Haven,Win,13,11,21,16,5,1.3,24,30,165,256,2
228,7,1,Gold 2,6/30/2023,Killjoy,Fracture,Win,11,2,12,7,5,1.7,82,18,199,297,3
229,7,1,Gold 2,6/30/2023,Killjoy,Split,Loss,6,13,17,13,2,1.3,38,37,162,258,1
230,7,1,Gold 2,6/30/2023,Killjoy,Pearl,Win,14,12,14,22,5,0.6,-23,30,116,168,4
231,7,1,Gold 2,6/30/2023,Killjoy,Ascent,Loss,4,13,19,15,3,1.3,61,20,229,349,1
232,7,1,Gold 2,7/5/2023,Killjoy,Haven,Loss,5,13,10,15,4,0.7,-7,11,125,170,3
233,7,1,Gold 2,7/5/2023,Cypher,Fracture,Loss,8,13,12,13,3,0.9,-8,21,106,146,4
234,7,1,Gold 2,7/5/2023,Cypher,Bind,Win,13,10,20,16,7,1.3,29,22,167,241,4
235,7,1,Gold 2,7/5/2023,Cypher,Lotus,Win,13,11,16,15,7,1.1,26,27,134,189,4
236,7,1,Gold 3,7/6/2023,Cypher,Fracture,Win,13,3,10,6,2,1.7,35,23,100,145,5
237,7,1,Gold 3,7/6/2023,Killjoy,Split,Win,13,11,20,17,6,1.2,24,7,151,235,2
238,7,1,Gold 3,7/6/2023,Killjoy,Ascent,Loss,6,13,14,15,2,0.9,-17,15,144,211,2
239,7,1,Gold 3,7/6/2023,Cypher,Bind,Loss,10,13,26,16,6,1.6,53,23,182,306,1
240,7,1,Gold 3,7/6/2023,Killjoy,Haven,Win,13,8,12,16,6,0.8,1,11,130,188,5
241,7,1,Gold 3,7/7/2023,Killjoy,Fracture,Loss,10,13,14,17,7,0.8,17,13,135,187,4
242,7,1,Gold 3,7/7/2023,Killjoy,Split,Win,13,6,14,12,7,1.2,37,20,168,232,4
243,7,1,Gold 3,7/7/2023,Cypher,Lotus,Win,13,10,12,15,10,0.8,0,28,113,159,5
