game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag,role
18,6,2,Silver 2,4/18/2023,Breach,Fracture,Win,13,9,9,16,7,0.5625,-20,5,97,128,5,Initiator
19,6,2,Silver 2,4/18/2023,Breach,Fracture,Win,13,8,12,16,11,0.75,-43,5,108,179,4,Initiator
20,6,2,Silver 2,4/21/2023,Cypher,Lotus,Loss,5,13,7,15,1,0.4666666666666667,-81,23,70,103,4,Sentinel
21,6,2,Silver 2,4/21/2023,Cypher,Ascent,Win,4,0,1,1,1,1.0,13,17,68,81,5,Sentinel
22,6,2,Silver 2,4/21/2023,Cypher,Ascent,Win,13,4,7,10,4,0.7,-26,11,81,125,5,Sentinel
23,6,2,Silver 3,4/21/2023,Cypher,Haven,Win,13,5,14,11,7,1.2727272727272727,2,5,127,206,4,Sentinel
24,6,2,Silver 3,4/21/2023,Cypher,Fracture,Win,15,13,23,20,7,1.15,6,9,155,236,3,Sentinel
25,6,2,Silver 3,4/21/2023,Cypher,Pearl,Win,13,7,15,10,6,1.5,21,7,129,193,2,Sentinel
26,6,2,Silver 3,4/22/2023,Cypher,Icebox,Win,13,2,8,10,4,0.8,-52,15,89,139,5,Sentinel
27,6,2,Gold 1,4/22/2023,Cypher,Split,Draw,15,15,35,21,8,1.6666666666666667,68,13,200,324,1,Sentinel
28,6,2,Gold 1,4/23/2023,Cypher,Fracture,Win,13,10,12,16,4,0.75,-28,11,98,145,4,Sentinel
29,6,2,Gold 1,4/23/2023,Cypher,Ascent,Loss,5,13,11,15,2,0.7333333333333333,-13,8,129,202,3,Sentinel
30,6,3,Gold 1,4/28/2023,Cypher,Fracture,Loss,12,14,22,19,5,1.1578947368421053,25,18,179,256,2,Sentinel
31,6,3,Gold 1,4/28/2023,Cypher,Pearl,Loss,8,13,14,15,4,0.9333333333333333,-10,14,113,184,2,Sentinel
32,6,3,Gold 1,4/28/2023,Cypher,Pearl,Win,14,12,17,20,6,0.85,-5,12,136,207,3,Sentinel
33,6,3,Gold 1,4/28/2023,Cypher,Haven,Loss,12,14,15,18,7,0.8333333333333334,-29,14,103,156,3,Sentinel
34,6,3,Gold 1,4/29/2023,Cypher,Lotus,Win,13,11,21,14,4,1.5,33,11,146,234,2,Sentinel
35,6,3,Gold 1,5/2/2023,Cypher,Fracture,Loss,6,13,6,17,4,0.35294117647058826,-62,8,87,123,5,Sentinel
36,6,3,Gold 1,5/2/2023,Cypher,Bind,Loss,8,13,8,15,1,0.5333333333333333,-48,19,78,108,5,Sentinel
37,6,3,Gold 1,5/2/2023,Cypher,Split,Win,13,7,14,14,8,1.0,-35,12,115,192,4,Sentinel
38,6,3,Gold 1,5/4/2023,Cypher,Pearl,Loss,10,13,18,14,5,1.2857142857142858,3,11,139,212,2,Sentinel
39,6,3,Gold 1,5/4/2023,Cypher,Ascent,Loss,5,13,13,15,2,0.8666666666666667,-9,15,132,202,4,Sentinel
40,6,3,Silver 3,5/4/2023,Cypher,Lotus,Loss,11,13,14,17,0,0.8235294117647058,-21,15,115,174,4,Sentinel
41,6,3,Silver 3,5/4/2023,Cypher,Ascent,Loss,7,13,11,18,2,0.6111111111111112,-49,13,98,154,4,Sentinel
42,6,3,Silver 3,5/4/2023,Cypher,Split,Win,13,9,23,13,7,1.7692307692307692,75,9,182,274,1,Sentinel
43,6,3,Gold 1,5/4/2023,Cypher,Bind,Win,13,1,13,2,4,6.5,61,12,124,213,3,Sentinel
44,6,3,Gold 1,5/4/2023,Cypher,Haven,Win,13,7,18,13,4,1.3846153846153846,39,12,168,260,2,Sentinel
45,6,3,Gold 1,5/4/2023,Cypher,Bind,Win,13,9,15,13,10,1.1538461538461537,40,13,164,230,4,Sentinel
46,6,3,Gold 1,5/4/2023,Cypher,Haven,Win,13,6,9,12,4,0.75,-10,6,102,150,5,Sentinel
47,6,3,Gold 2,5/4/2023,Cypher,Split,Win,14,12,16,16,5,1.0,2,19,112,170,3,Sentinel
48,6,3,Gold 2,5/4/2023,Cypher,Ascent,Win,13,10,14,17,6,0.8235294117647058,-8,5,128,184,4,Sentinel
49,6,3,Gold 2,5/4/2023,Cypher,Lotus,Loss,5,13,18,16,4,1.125,22,10,165,275,1,Sentinel
50,6,3,Gold 2,5/4/2023,Cypher,Lotus,Win,13,2,27,6,8,4.5,190,10,284,493,1,Sentinel
51,6,3,Gold 2,5/4/2023,Cypher,Pearl,Win,13,7,17,13,9,1.3076923076923077,9,10,137,211,2,Sentinel
52,6,3,Gold 2,5/4/2023,Cypher,Split,Loss,11,13,15,20,6,0.75,-50,8,113,172,3,Sentinel
53,6,3,Gold 2,5/4/2023,Cypher,Bind,Win,13,11,16,17,8,0.9411764705882353,12,9,150,212,4,Sentinel
54,6,3,Gold 2,5/4/2023,Cypher,Split,Loss,6,13,9,15,1,0.6,-55,20,70,115,4,Sentinel
55,6,3,Gold 3,5/4/2023,Cypher,Ascent,Win,13,10,15,17,5,0.8823529411764706,19,14,133,201,4,Sentinel
56,6,3,Gold 3,5/5/2023,Cypher,Haven,Win,13,8,14,12,7,1.1666666666666667,-5,8,111,181,4,Sentinel
57,6,3,Gold 2,5/5/2023,Cypher,Lotus,Loss,7,13,13,17,3,0.7647058823529411,-38,13,123,198,3,Sentinel
58,6,3,Gold 2,5/7/2023,Cypher,Pearl,Loss,9,13,9,15,3,0.6,-43,12,90,132,5,Sentinel
59,6,3,Gold 2,5/7/2023,Cypher,Pearl,Win,14,12,20,20,4,1.0,3,14,151,234,1,Sentinel
60,6,3,Gold 2,5/7/2023,Cypher,Fracture,Loss,13,15,20,19,6,1.0526315789473684,7,8,146,215,2,Sentinel
61,6,3,Gold 2,5/8/2023,Cypher,Ascent,Loss,5,13,13,16,6,0.8125,-24,13,124,209,3,Sentinel
62,6,3,Gold 2,5/8/2023,Cypher,Bind,Win,13,9,20,13,6,1.5384615384615385,26,5,154,258,1,Sentinel
63,6,3,Gold 2,5/8/2023,Cypher,Bind,Loss,8,13,16,14,5,1.1428571428571428,1,21,117,213,2,Sentinel
64,6,3,Gold 3,5/8/2023,Cypher,Lotus,Win,13,8,18,12,8,1.5,62,7,170,248,3,Sentinel
65,6,3,Gold 3,5/8/2023,Cypher,Split,Win,13,5,6,9,5,0.6666666666666666,-37,12,65,89,5,Sentinel
66,6,3,Gold 3,5/8/2023,Cypher,Pearl,Loss,5,13,14,18,6,0.7777777777777778,-21,13,117,179,4,Sentinel
67,6,3,Gold 3,5/8/2023,Cypher,Haven,Win,13,3,7,6,3,1.1666666666666667,-21,10,70,114,5,Sentinel
68,6,3,Gold 3,5/8/2023,Cypher,Haven,Loss,6,13,23,15,3,1.5333333333333334,47,15,196,333,1,Sentinel
69,6,3,Gold 3,5/8/2023,Cypher,Fracture,Win,14,12,21,17,6,1.2352941176470589,30,8,158,238,2,Sentinel
70,6,3,Gold 3,5/8/2023,Cypher,Bind,Win,13,5,17,11,9,1.5454545454545454,58,17,167,254,2,Sentinel
71,6,3,Gold 3,5/8/2023,Cypher,Lotus,Loss,11,13,15,19,6,0.7894736842105263,-22,15,122,190,3,Sentinel
72,6,3,Gold 3,5/8/2023,Cypher,Pearl,Win,13,7,13,13,5,1.0,7,11,125,194,5,Sentinel
73,6,3,Gold 3,5/8/2023,Cypher,Ascent,Win,13,4,8,11,8,0.7272727272727273,-63,9,74,125,5,Sentinel
74,6,3,Gold 3,5/9/2023,Cypher,Split,Loss,7,13,21,11,4,1.9090909090909092,86,19,200,299,1,Sentinel
75,6,3,Gold 3,5/9/2023,Cypher,Bind,Win,13,6,17,8,4,2.125,74,14,167,249,3,Sentinel
76,6,3,Gold 3,5/9/2023,Cypher,Ascent,Loss,11,13,15,17,7,0.8823529411764706,2,22,135,196,5,Sentinel
77,6,3,Gold 3,5/9/2023,Cypher,Bind,Draw,15,15,17,19,9,0.8947368421052632,-2,19,115,173,4,Sentinel
78,6,3,Gold 3,5/9/2023,Cypher,Split,Loss,4,13,10,14,5,0.7142857142857143,-6,14,126,186,1,Sentinel
79,6,3,Gold 3,5/9/2023,Cypher,Pearl,Win,13,4,11,9,8,1.2222222222222223,13,15,106,173,4,Sentinel
80,6,3,Gold 3,5/9/2023,Cypher,Fracture,Loss,5,13,13,15,5,0.8666666666666667,-16,26,124,203,3,Sentinel
81,6,3,Gold 3,5/9/2023,Killjoy,Bind,Loss,9,13,12,17,1,0.7058823529411765,-49,20,84,136,5,Sentinel
82,6,3,Gold 3,5/9/2023,Cypher,Haven,Loss,8,13,12,17,6,0.7058823529411765,-21,19,117,183,3,Sentinel
83,6,3,Gold 3,5/17/2023,Cypher,Bind,Win,13,1,14,6,4,2.3333333333333335,24,7,120,227,2,Sentinel
84,6,3,Gold 3,5/17/2023,Cypher,Lotus,Loss,9,13,22,18,6,1.2222222222222223,27,18,194,287,1,Sentinel
85,6,3,Gold 3,5/17/2023,Cypher,Fracture,Loss,7,13,18,13,6,1.3846153846153846,47,16,171,259,2,Sentinel
86,6,3,Gold 3,5/17/2023,Cypher,Split,Loss,9,13,22,15,3,1.4666666666666666,43,9,169,272,1,Sentinel
87,6,3,Gold 2,5/17/2023,Cypher,Split,Loss,13,15,18,22,5,0.8181818181818182,-19,18,122,192,3,Sentinel
88,6,3,Gold 3,5/17/2023,Cypher,Haven,Loss,2,13,13,14,4,0.9285714285714286,5,8,152,252,1,Sentinel
89,6,3,Gold 3,5/17/2023,Cypher,Ascent,Win,13,8,13,13,5,1.0,-14,13,101,158,2,Sentinel
90,6,3,Gold 3,5/17/2023,Cypher,Haven,Loss,4,13,8,16,2,0.5,-39,12,116,171,4,Sentinel
91,6,3,Gold 3,5/18/2023,Cypher,Pearl,Win,13,2,11,10,7,1.1,23,7,135,215,5,Sentinel
92,6,3,Gold 3,5/18/2023,Cypher,Lotus,Win,13,2,16,9,4,1.7777777777777777,14,8,157,264,1,Sentinel
93,6,3,Gold 3,5/18/2023,Cypher,Split,Draw,15,15,24,21,9,1.1428571428571428,6,12,144,223,1,Sentinel
94,6,3,Gold 3,5/18/2023,Cypher,Fracture,Win,13,8,19,13,6,1.4615384615384615,22,13,146,232,2,Sentinel
95,6,3,Gold 3,5/18/2023,Cypher,Ascent,Win,13,9,18,16,7,1.125,42,17,165,242,4,Sentinel
96,6,3,Gold 3,5/18/2023,Cypher,Bind,Loss,12,14,14,21,11,0.6666666666666666,-17,15,133,195,4,Sentinel
97,6,3,Gold 3,5/18/2023,Cypher,Pearl,Loss,11,13,20,16,2,1.25,42,11,154,252,2,Sentinel
98,6,3,Gold 3,5/19/2023,Cypher,Split,Loss,10,13,14,19,6,0.7368421052631579,10,19,153,203,2,Sentinel
99,6,3,Gold 3,5/19/2023,Cypher,Fracture,Win,13,3,17,6,6,2.8333333333333335,68,14,147,263,1,Sentinel
100,6,3,Gold 3,5/19/2023,Cypher,Lotus,Loss,9,13,21,16,4,1.3125,21,13,147,255,1,Sentinel
101,6,3,Gold 3,5/19/2023,Cypher,Pearl,Loss,5,13,4,17,4,0.23529411764705882,-89,11,67,92,5,Sentinel
102,6,3,Gold 3,5/19/2023,Cypher,Fracture,Loss,11,13,17,17,5,1.0,14,18,147,221,3,Sentinel
103,6,3,Gold 3,5/19/2023,Cypher,Pearl,Loss,12,14,11,18,6,0.6111111111111112,-24,4,100,141,5,Sentinel
104,6,3,Gold 3,5/19/2023,Cypher,Bind,Win,13,6,18,10,3,1.8,17,9,122,216,1,Sentinel
105,6,3,Gold 3,5/19/2023,Cypher,Lotus,Win,13,9,27,12,14,2.25,110,13,178,278,1,Sentinel
106,6,3,Gold 3,5/19/2023,Cypher,Ascent,Win,13,9,22,13,7,1.6923076923076923,60,13,178,278,1,Sentinel
107,6,3,Gold 3,5/19/2023,Cypher,Ascent,Loss,5,13,16,15,1,1.0666666666666667,1,18,145,252,1,Sentinel
108,6,3,Gold 3,5/20/2023,Cypher,Haven,Loss,4,13,10,14,4,0.7142857142857143,-21,13,125,192,2,Sentinel
109,6,3,Gold 3,5/20/2023,Cypher,Lotus,Loss,12,14,25,21,4,1.1904761904761905,30,21,157,270,1,Sentinel
110,6,3,Gold 3,5/20/2023,Cypher,Haven,Loss,4,13,6,10,4,0.6,-13,17,82,101,5,Sentinel
111,6,3,Gold 3,5/21/2023,Cypher,Lotus,Win,13,7,18,12,3,1.5,27,14,157,259,2,Sentinel
112,6,3,Platinum 1,5/21/2023,Cypher,Pearl,Win,13,10,19,14,4,1.3571428571428572,3,14,121,213,3,Sentinel
113,6,3,Platinum 1,5/22/2023,Cypher,Ascent,Win,13,10,17,14,7,1.2142857142857142,21,8,140,233,2,Sentinel
114,6,3,Gold 3,5/22/2023,Cypher,Ascent,Loss,3,13,12,13,5,0.9230769230769231,40,17,155,240,2,Sentinel
115,6,3,Gold 3,5/22/2023,Cypher,Fracture,Loss,7,13,14,15,3,0.9333333333333333,10,16,147,221,2,Sentinel
116,6,3,Gold 3,5/22/2023,Cypher,Bind,Win,13,11,17,18,4,0.9444444444444444,-27,11,122,200,3,Sentinel
117,6,3,Gold 3,5/22/2023,Cypher,Lotus,Loss,4,13,20,16,3,1.25,30,13,192,339,1,Sentinel
118,6,3,Gold 3,5/22/2023,Cypher,Split,Win,13,9,9,13,9,0.6923076923076923,-18,11,96,130,5,Sentinel
119,6,3,Gold 3,5/22/2023,Cypher,Bind,Loss,7,13,12,16,6,0.75,-59,10,88,155,3,Sentinel
120,6,3,Gold 3,5/22/2023,Cypher,Split,Win,13,11,20,20,7,1.0,26,11,160,237,2,Sentinel
121,6,3,Gold 3,5/22/2023,Cypher,Bind,Loss,11,13,12,15,4,0.8,-24,7,88,140,4,Sentinel
122,6,3,Gold 3,5/22/2023,Cypher,Lotus,Loss,10,13,20,16,5,1.25,5,10,140,231,2,Sentinel
123,6,3,Gold 3,5/23/2023,Cypher,Haven,Loss,7,13,25,13,2,1.9230769230769231,87,19,206,343,1,Sentinel
124,6,3,Gold 3,5/23/2023,Cypher,Pearl,Loss,7,13,20,15,3,1.3333333333333333,38,15,179,288,1,Sentinel
125,6,3,Gold 3,5/23/2023,Cypher,Pearl,Win,14,12,25,19,6,1.3157894736842106,28,21,152,255,1,Sentinel
126,6,3,Gold 3,5/23/2023,Cypher,Haven,Win,13,6,18,11,2,1.6363636363636365,38,14,154,261,3,Sentinel
127,6,3,Gold 3,5/23/2023,Cypher,Fracture,Win,13,7,18,17,10,1.0588235294117647,48,15,204,291,2,Sentinel
128,6,3,Platinum 1,5/23/2023,Cypher,Lotus,Draw,14,14,25,17,4,1.4705882352941178,35,13,152,243,1,Sentinel
129,6,3,Platinum 1,5/24/2023,Cypher,Bind,Win,13,7,17,10,4,1.7,33,22,141,228,2,Sentinel
130,6,3,Platinum 1,5/24/2023,Cypher,Split,Loss,10,13,16,16,7,1.0,30,8,171,236,2,Sentinel
131,6,3,Platinum 1,5/24/2023,Cypher,Ascent,Win,13,8,19,12,6,1.5833333333333333,11,18,137,217,2,Sentinel
132,6,3,Platinum 1,5/28/2023,Cypher,Ascent,Loss,8,13,17,15,3,1.1333333333333333,11,29,141,224,3,Sentinel
133,6,3,Platinum 1,5/28/2023,Cypher,Lotus,Win,13,10,23,17,10,1.3529411764705883,59,14,182,304,1,Sentinel
134,6,3,Gold 3,5/29/2023,Cypher,Ascent,Loss,9,13,12,16,8,0.75,-15,16,114,178,4,Sentinel
135,6,3,Gold 3,5/29/2023,Cypher,Pearl,Loss,7,13,10,14,7,0.7142857142857143,-25,9,106,163,3,Sentinel
136,6,3,Gold 3,5/29/2023,Cypher,Haven,Loss,5,13,9,17,3,0.5294117647058824,-60,15,105,160,4,Sentinel
137,6,3,Platinum 1,5/29/2023,Cypher,Bind,Win,14,12,27,17,5,1.588235294117647,49,15,169,298,1,Sentinel
138,6,3,Platinum 1,5/30/2023,Cypher,Haven,Win,13,5,20,9,6,2.2222222222222223,95,20,203,311,1,Sentinel
139,6,3,Platinum 1,5/30/2023,Cypher,Lotus,Loss,4,13,13,13,5,1.0,35,24,169,247,1,Sentinel
140,6,3,Platinum 1,5/30/2023,Cypher,Bind,Win,4,2,5,2,2,2.5,78,25,146,227,3,Sentinel
141,6,3,Platinum 1,5/30/2023,Cypher,Ascent,Loss,11,13,15,17,5,0.8823529411764706,-20,8,113,183,3,Sentinel
142,6,3,Platinum 1,5/30/2023,Cypher,Haven,Loss,8,13,12,17,5,0.7058823529411765,-16,9,125,180,4,Sentinel
143,6,3,Platinum 1,5/31/2023,Cypher,Fracture,Win,7,3,11,5,3,2.2,44,14,156,277,1,Sentinel
144,6,3,Platinum 1,5/31/2023,Cypher,Lotus,Win,13,10,15,18,10,0.8333333333333334,-2,9,140,213,2,Sentinel
145,6,3,Platinum 1,5/31/2023,Cypher,Split,Win,14,12,12,17,12,0.7058823529411765,-12,5,117,166,5,Sentinel
146,6,3,Platinum 1,5/31/2023,Cypher,Lotus,Loss,4,13,13,14,4,0.9285714285714286,-5,8,137,223,2,Sentinel
147,6,3,Platinum 1,6/1/2023,Cypher,Ascent,Win,13,4,17,7,3,2.4285714285714284,59,12,149,262,1,Sentinel
148,6,3,Platinum 1,6/1/2023,Cypher,Pearl,Win,13,5,15,8,4,1.875,36,10,140,220,2,Sentinel
149,6,3,Platinum 1,6/1/2023,Cypher,Split,Loss,5,13,11,15,6,0.7333333333333333,-26,8,136,215,3,Sentinel
150,6,3,Platinum 1,6/1/2023,Cypher,Ascent,Win,15,13,25,21,4,1.1904761904761905,14,12,157,251,2,Sentinel
151,6,3,Platinum 2,6/2/2023,Cypher,Split,Win,13,10,15,15,2,1.0,-2,8,127,203,5,Sentinel
152,6,3,Platinum 2,6/2/2023,Cypher,Pearl,Win,13,7,15,11,10,1.3636363636363635,40,6,146,222,2,Sentinel
153,6,3,Platinum 1,6/3/2023,Cypher,Fracture,Win,13,9,15,15,3,1.0,21,20,138,210,4,Sentinel
154,6,3,Platinum 1,6/3/2023,Cypher,Ascent,Loss,15,17,20,21,8,0.9523809523809523,-17,11,118,188,3,Sentinel
155,6,3,Platinum 1,6/3/2023,Cypher,Lotus,Loss,7,13,18,16,7,1.125,18,9,158,253,2,Sentinel
156,6,3,Platinum 2,6/3/2023,Cypher,Haven,Win,13,4,19,9,6,2.111111111111111,89,17,193,306,1,Sentinel
157,6,3,Platinum 2,6/4/2023,Cypher,Split,Loss,12,14,21,21,4,1.0,-41,22,109,175,2,Sentinel
158,6,3,Platinum 1,6/4/2023,Cypher,Pearl,Loss,11,13,18,19,5,0.9473684210526315,-7,10,140,221,3,Sentinel
159,6,3,Platinum 1,6/5/2023,Cypher,Fracture,Loss,5,13,10,16,2,0.625,-29,18,123,183,4,Sentinel
160,6,3,Platinum 1,6/5/2023,Cypher,Ascent,Loss,8,13,13,13,6,1.0,-9,18,119,183,4,Sentinel
161,6,3,Platinum 1,6/5/2023,Cypher,Bind,Loss,9,13,23,17,5,1.3529411764705883,34,10,173,292,2,Sentinel
162,6,3,Platinum 1,6/5/2023,Cypher,Pearl,Loss,6,13,9,17,4,0.5294117647058824,-60,11,89,146,4,Sentinel
163,6,3,Platinum 1,6/5/2023,Cypher,Lotus,Win,13,9,13,14,6,0.9285714285714286,5,15,112,182,5,Sentinel
164,6,3,Platinum 1,6/5/2023,Cypher,Bind,Win,13,9,12,14,5,0.8571428571428571,-22,6,99,154,5,Sentinel
165,6,3,Platinum 1,6/5/2023,Cypher,Pearl,Win,13,9,16,15,6,1.0666666666666667,21,26,132,208,3,Sentinel
166,6,3,Platinum 1,6/6/2023,Cypher,Split,Win,13,2,14,5,3,2.8,76,21,150,229,4,Sentinel
167,6,3,Platinum 1,6/6/2023,Cypher,Haven,Loss,9,13,19,18,4,1.0555555555555556,33,18,173,246,2,Sentinel
168,6,3,Platinum 2,6/6/2023,Cypher,Fracture,Win,13,11,13,20,13,0.65,-27,12,105,160,5,Sentinel
169,6,3,Platinum 2,6/11/2023,Cypher,Lotus,Win,13,6,20,14,6,1.4285714285714286,32,22,175,305,2,Sentinel
170,6,3,Platinum 2,6/11/2023,Cypher,Haven,Win,13,9,12,16,3,0.75,-25,8,94,144,4,Sentinel
171,6,3,Platinum 2,6/11/2023,Cypher,Split,Loss,8,13,13,19,4,0.6842105263157895,-40,4,121,189,2,Sentinel
172,6,3,Platinum 2,6/12/2023,Cypher,Bind,Win,13,6,17,10,9,1.7,45,13,162,245,2,Sentinel
173,6,3,Platinum 2,6/12/2023,Cypher,Bind,Win,13,6,23,10,7,2.3,83,11,179,331,1,Sentinel
174,6,3,Platinum 2,6/12/2023,Cypher,Lotus,Loss,5,13,12,16,4,0.75,-21,3,129,203,2,Sentinel
175,6,3,Platinum 2,6/12/2023,Cypher,Pearl,Win,13,11,17,16,8,1.0625,9,8,130,209,4,Sentinel
176,6,3,Platinum 2,6/13/2023,Cypher,Haven,Win,13,9,16,15,5,1.0666666666666667,0,20,123,188,3,Sentinel
177,6,3,Platinum 2,6/13/2023,Cypher,Split,Loss,7,13,9,16,6,0.5625,-44,16,109,157,5,Sentinel
178,6,3,Platinum 2,6/13/2023,Cypher,Fracture,Win,13,7,9,9,5,1.0,11,12,102,158,4,Sentinel
179,6,3,Platinum 2,6/13/2023,Cypher,Ascent,Win,13,10,12,18,8,0.6666666666666666,-18,5,133,182,5,Sentinel
180,6,3,Platinum 2,6/14/2023,Cypher,Pearl,Win,13,8,21,13,4,1.6153846153846154,48,13,165,258,1,Sentinel
181,6,3,Platinum 2,6/14/2023,Cypher,Haven,Loss,2,13,15,13,2,1.1538461538461537,21,17,194,309,1,Sentinel
182,6,3,Platinum 2,6/14/2023,Cypher,Lotus,Win,13,8,21,16,4,1.3125,16,13,161,268,1,Sentinel
183,6,3,Platinum 2,6/15/2023,Cypher,Split,Win,13,11,20,18,8,1.1111111111111112,38,26,188,276,3,Sentinel
184,6,3,Platinum 2,6/15/2023,Cypher,Bind,Loss,13,15,22,19,5,1.1578947368421053,-15,17,131,208,2,Sentinel
185,6,3,Platinum 2,6/15/2023,Cypher,Fracture,Win,13,6,16,9,1,1.7777777777777777,31,20,131,211,2,Sentinel
186,6,3,Platinum 2,6/16/2023,Cypher,Lotus,Loss,4,13,7,16,2,0.4375,-59,23,85,135,3,Sentinel
187,6,3,Platinum 2,6/16/2023,Cypher,Bind,Win,13,10,23,12,2,1.9166666666666667,58,23,85,135,2,Sentinel
188,6,3,Platinum 3,6/16/2023,Cypher,Pearl,Win,13,7,22,9,5,2.4444444444444446,97,12,176,288,2,Sentinel
189,6,3,Platinum 3,6/16/2023,Cypher,Haven,Win,13,11,18,16,4,1.125,2,14,126,212,3,Sentinel
190,6,3,Platinum 3,6/17/2023,Cypher,Ascent,Win,13,6,13,8,6,1.625,78,18,140,202,4,Sentinel
191,6,3,Platinum 3,6/17/2023,Cypher,Lotus,Win,13,5,20,8,4,2.5,100,31,191,300,1,Sentinel
192,6,3,Platinum 3,6/17/2023,Cypher,Split,Win,13,9,25,14,4,1.7857142857142858,66,19,198,317,1,Sentinel
193,6,3,Platinum 3,6/18/2023,Cypher,Lotus,Win,13,10,16,14,1,1.1428571428571428,8,24,124,207,4,Sentinel
194,6,3,Platinum 3,6/18/2023,Cypher,Pearl,Win,15,13,19,21,5,0.9047619047619048,-13,8,120,185,4,Sentinel
195,6,3,Platinum 3,6/18/2023,Cypher,Fracture,Loss,6,13,15,16,5,0.9375,-8,13,146,229,2,Sentinel
196,6,3,Platinum 3,6/19/2023,Cypher,Ascent,Loss,5,13,12,14,4,0.8571428571428571,-12,18,120,188,2,Sentinel
197,6,3,Platinum 3,6/19/2023,Cypher,Pearl,Loss,12,14,28,15,6,1.8666666666666667,78,19,193,293,1,Sentinel
198,6,3,Platinum 3,6/20/2023,Cypher,Split,Win,13,7,10,13,5,0.7692307692307693,-9,15,111,152,4,Sentinel
199,6,3,Platinum 3,6/20/2023,Cypher,Haven,Loss,10,13,20,14,3,1.4285714285714286,38,30,141,230,1,Sentinel
200,6,3,Platinum 3,6/20/2023,Cypher,Lotus,Loss,10,13,12,15,4,0.8,-20,23,90,128,5,Sentinel
201,6,3,Platinum 3,6/20/2023,Cypher,Split,Win,13,4,9,11,8,0.8181818181818182,-22,19,113,177,5,Sentinel
202,6,3,Platinum 3,6/21/2023,Cypher,Haven,Win,13,9,19,11,7,1.7272727272727273,53,25,152,228,2,Sentinel
203,6,3,Platinum 3,6/21/2023,Cypher,Ascent,Loss,6,13,14,15,2,0.9333333333333333,-25,26,105,186,1,Sentinel
204,6,3,Platinum 3,6/21/2023,Cypher,Lotus,Loss,8,13,14,16,2,0.875,-12,35,128,192,3,Sentinel
205,6,3,Platinum 3,6/21/2023,Cypher,Haven,Win,15,13,12,15,6,0.8,-13,14,101,140,5,Sentinel
206,6,3,Platinum 3,6/24/2023,Cypher,Fracture,Win,13,7,20,11,1,1.8181818181818181,40,15,154,237,2,Sentinel
207,6,3,Platinum 3,6/24/2023,Cypher,Lotus,Win,13,9,21,14,7,1.5,23,14,144,240,1,Sentinel
208,6,3,Platinum 3,6/24/2023,Cypher,Bind,Loss,12,14,15,19,4,0.7894736842105263,-22,13,107,169,5,Sentinel
209,6,3,Platinum 3,6/24/2023,Brimstone,Pearl,Win,13,7,12,13,12,0.9230769230769231,-17,25,118,186,5,Controller
