game_id,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,acs,role,win,date_dt,smoothed_win_rate,games_played_as_agent,win_rate_agent_map_role,mean_acs_agent_map_role,mean_kdr_agent,recent_win_rate_agent
1274,12/5/2023,Breach,Split,Win,6,4,11,12,8,0.9166666666666666,106,Initiator,1,2023-12-05,0.496141975308642,28,0.5,127.25,2.193235930735931,0.6
1601,1/7/2024,Breach,Breeze,Win,14,2,2,2,3,1.0,118,Initiator,1,2024-01-07,0.496141975308642,28,0.5,194.66666666666666,2.193235930735931,0.8
1211,6/6/2024,Breach,Ascent,Win,8,1,4,3,2,1.3333333333333333,232,Initiator,1,2024-06-06,0.496141975308642,28,1.0,198.66666666666666,2.193235930735931,0.8
1129,6/10/2024,Breach,Ascent,Win,8,1,14,5,2,2.8,154,Initiator,1,2024-06-10,0.496141975308642,28,1.0,198.66666666666666,2.193235930735931,1.0
1312,6/24/2024,Breach,Breeze,Win,13,1,2,2,6,1.0,262,Initiator,1,2024-06-24,0.496141975308642,28,0.5,194.66666666666666,2.193235930735931,1.0
1364,7/24/2024,Breach,Split,Draw,8,8,20,1,7,20.0,216,Initiator,0,2024-07-24,0.496141975308642,28,0.5,127.25,2.193235930735931,0.8
1821,7/24/2024,Breach,Bind,Loss,5,14,2,8,5,0.25,81,Initiator,0,2024-07-24,0.496141975308642,28,0.5,96.0,2.193235930735931,0.6
1949,8/2/2024,Breach,Icebox,Loss,3,6,14,6,3,2.333333333333333,207,Initiator,0,2024-08-02,0.496141975308642,28,0.0,178.5,2.193235930735931,0.4
1211,8/7/2024,Breach,Abyss,Loss,6,9,11,9,4,1.2222222222222223,18,Initiator,0,2024-08-07,0.496141975308642,28,0.0,127.0,2.193235930735931,0.2
1198,9/18/2024,Breach,Breeze,Loss,7,15,8,10,0,0.8,287,Initiator,0,2024-09-18,0.496141975308642,28,0.5,194.66666666666666,2.193235930735931,0.0
1861,9/22/2024,Breach,Breeze,Draw,5,5,12,4,1,3.0,300,Initiator,0,2024-09-22,0.496141975308642,28,0.5,194.66666666666666,2.193235930735931,0.0
1427,10/6/2024,Breach,Abyss,Draw,12,12,1,14,7,0.0714285714285714,143,Initiator,0,2024-10-06,0.496141975308642,28,0.0,127.0,2.193235930735931,0.0
1911,02/15/2026,Breach,Bind,Win,4,2,17,12,2,1.4166666666666667,111,Initiator,1,2026-02-15,0.496141975308642,28,0.5,96.0,2.193235930735931,0.2
1349,02/18/2026,Breach,Haven,Loss,2,11,7,8,9,0.875,67,Initiator,0,2026-02-18,0.496141975308642,28,0.0,67.0,2.193235930735931,0.2
4,4/15/2023,Brimstone,Ascent,Loss,9,13,18,12,10,1.5,230,Controller,0,2023-04-15,0.47394079685746354,34,0.3333333333333333,190.0,1.3661553199729306,0.0
1230,4/16/2023,Brimstone,Haven,Win,12,0,7,19,5,0.3684210526315789,131,Controller,1,2023-04-16,0.47394079685746354,34,0.6666666666666666,171.33333333333334,1.3661553199729306,0.5
11,4/17/2023,Brimstone,Lotus,Loss,4,13,8,14,1,0.5714285714285714,137,Controller,0,2023-04-17,0.47394079685746354,34,0.16666666666666666,116.16666666666667,1.3661553199729306,0.3333333333333333
1266,5/22/2023,Brimstone,Breeze,Win,11,5,18,3,6,6.0,222,Controller,1,2023-05-22,0.47394079685746354,34,0.4,175.2,1.3661553199729306,0.5
1917,5/22/2023,Brimstone,Haven,Draw,15,15,15,20,5,0.75,104,Controller,0,2023-05-22,0.47394079685746354,34,0.6666666666666666,171.33333333333334,1.3661553199729306,0.4
1520,5/22/2023,Brimstone,Lotus,Win,14,7,1,17,5,0.0588235294117647,148,Controller,1,2023-05-22,0.47394079685746354,34,0.16666666666666666,116.16666666666667,1.3661553199729306,0.6
1306,5/23/2023,Brimstone,Fracture,Draw,5,5,12,7,0,1.7142857142857142,168,Controller,0,2023-05-23,0.47394079685746354,34,0.6666666666666666,104.66666666666667,1.3661553199729306,0.4
1536,5/28/2023,Brimstone,Bind,Win,10,3,10,3,8,3.333333333333333,220,Controller,1,2023-05-28,0.47394079685746354,34,0.6666666666666666,226.0,1.3661553199729306,0.6
1799,6/2/2023,Brimstone,Lotus,Loss,13,14,15,13,9,1.1538461538461535,23,Controller,0,2023-06-02,0.47394079685746354,34,0.16666666666666666,116.16666666666667,1.3661553199729306,0.4
209,6/24/2023,Brimstone,Pearl,Win,13,7,12,13,12,0.9230769230769232,186,Controller,1,2023-06-24,0.47394079685746354,34,1.0,105.0,1.3661553199729306,0.6
1479,7/14/2023,Brimstone,Pearl,Win,9,4,2,18,6,0.1111111111111111,93,Controller,1,2023-07-14,0.47394079685746354,34,1.0,105.0,1.3661553199729306,0.6
297,7/20/2023,Brimstone,Ascent,Win,16,14,30,20,15,1.5,247,Controller,1,2023-07-20,0.47394079685746354,34,0.3333333333333333,190.0,1.3661553199729306,0.8
1149,7/22/2023,Brimstone,Lotus,Loss,0,7,2,18,9,0.1111111111111111,102,Controller,0,2023-07-22,0.47394079685746354,34,0.16666666666666666,116.16666666666667,1.3661553199729306,0.6
1099,11/4/2023,Brimstone,Abyss,Loss,0,1,14,18,3,0.7777777777777778,207,Controller,0,2023-11-04,0.47394079685746354,34,0.25,110.25,1.3661553199729306,0.6
1249,11/14/2023,Brimstone,Split,Draw,12,12,5,7,7,0.7142857142857143,170,Controller,0,2023-11-14,0.47394079685746354,34,0.5,114.0,1.3661553199729306,0.4
1617,11/19/2023,Brimstone,Haven,Win,13,6,10,18,2,0.5555555555555556,279,Controller,1,2023-11-19,0.47394079685746354,34,0.6666666666666666,171.33333333333334,1.3661553199729306,0.4
1084,12/21/2023,Brimstone,Abyss,Loss,10,11,17,13,9,1.3076923076923077,30,Controller,0,2023-12-21,0.47394079685746354,34,0.25,110.25,1.3661553199729306,0.2
515,12/31/2023,Brimstone,Bind,Loss,8,13,12,15,10,0.8,167,Controller,0,2023-12-31,0.47394079685746354,34,0.6666666666666666,226.0,1.3661553199729306,0.2
1391,6/8/2024,Brimstone,Ascent,Loss,2,12,19,5,5,3.8,93,Controller,0,2024-06-08,0.47394079685746354,34,0.3333333333333333,190.0,1.3661553199729306,0.2
1175,6/23/2024,Brimstone,Bind,Win,11,2,3,12,5,0.25,291,Controller,1,2024-06-23,0.47394079685746354,34,0.6666666666666666,226.0,1.3661553199729306,0.4
1959,6/25/2024,Brimstone,Breeze,Loss,13,14,17,22,10,0.7727272727272727,147,Controller,0,2024-06-25,0.47394079685746354,34,0.4,175.2,1.3661553199729306,0.2
1788,7/8/2024,Brimstone,Sunset,Win,6,1,4,5,1,0.8,238,Controller,1,2024-07-08,0.47394079685746354,34,1.0,238.0,1.3661553199729306,0.4
1893,7/22/2024,Brimstone,Breeze,Loss,3,5,10,0,2,10.0,15,Controller,0,2024-07-22,0.47394079685746354,34,0.4,175.2,1.3661553199729306,0.4
1858,8/9/2024,Brimstone,Abyss,Loss,2,8,0,13,10,0.0,174,Controller,0,2024-08-09,0.47394079685746354,34,0.25,110.25,1.3661553199729306,0.4
1551,9/15/2024,Brimstone,Pearl,Win,10,2,14,18,3,0.7777777777777778,36,Controller,1,2024-09-15,0.47394079685746354,34,1.0,105.0,1.3661553199729306,0.4
1746,10/31/2024,Brimstone,Lotus,Loss,6,7,14,13,0,1.0769230769230769,261,Controller,0,2024-10-31,0.47394079685746354,34,0.16666666666666666,116.16666666666667,1.3661553199729306,0.4
1099,11/9/2024,Brimstone,Fracture,Win,14,7,3,6,2,0.5,52,Controller,1,2024-11-09,0.47394079685746354,34,0.6666666666666666,104.66666666666667,1.3661553199729306,0.4
1740,11/11/2024,Brimstone,Breeze,Loss,6,8,5,7,10,0.7142857142857143,266,Controller,0,2024-11-11,0.47394079685746354,34,0.4,175.2,1.3661553199729306,0.4
1057,02/16/2026,Brimstone,Breeze,Win,14,8,8,11,5,0.7272727272727273,226,Controller,1,2026-02-16,0.47394079685746354,34,0.4,175.2,1.3661553199729306,0.6
1891,02/22/2026,Brimstone,Split,Win,10,3,3,15,8,0.2,58,Controller,1,2026-02-22,0.47394079685746354,34,0.5,114.0,1.3661553199729306,0.6
1587,03/02/2026,Brimstone,Fracture,Win,15,0,5,11,2,0.4545454545454545,94,Controller,1,2026-03-02,0.47394079685746354,34,0.6666666666666666,104.66666666666667,1.3661553199729306,0.8
1783,03/10/2026,Brimstone,Icebox,Loss,10,14,20,8,6,2.5,269,Controller,0,2026-03-10,0.47394079685746354,34,0.0,269.0,1.3661553199729306,0.6
1583,03/14/2026,Brimstone,Abyss,Win,13,7,12,16,5,0.75,30,Controller,1,2026-03-14,0.47394079685746354,34,0.25,110.25,1.3661553199729306,0.8
1755,03/15/2026,Brimstone,Lotus,Draw,1,1,14,16,9,0.875,26,Controller,0,2026-03-15,0.47394079685746354,34,0.16666666666666666,116.16666666666667,1.3661553199729306,0.6
1,4/11/2023,Cypher,Ascent,Loss,5,13,8,15,4,0.5333333333333333,125,Sentinel,0,2023-04-11,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.0
2,4/12/2023,Cypher,Icebox,Loss,4,13,3,15,2,0.2,59,Sentinel,0,2023-04-12,0.5017196887696677,777,0.4074074074074074,189.14814814814815,1.2345552157991344,0.0
5,4/15/2023,Cypher,Haven,Loss,1,13,6,14,3,0.4285714285714285,146,Sentinel,0,2023-04-15,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.0
7,4/15/2023,Cypher,Pearl,Loss,3,13,7,15,5,0.4666666666666667,145,Sentinel,0,2023-04-15,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.0
1714,4/15/2023,Cypher,Icebox,Loss,5,12,4,2,8,2.0,144,Sentinel,0,2023-04-15,0.5017196887696677,777,0.4074074074074074,189.14814814814815,1.2345552157991344,0.0
9,4/16/2023,Cypher,Pearl,Loss,10,13,14,17,4,0.8235294117647058,160,Sentinel,0,2023-04-16,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.0
1042,4/21/2023,Cypher,Split,Win,8,0,7,5,6,1.4,105,Sentinel,1,2023-04-21,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.2
1857,4/21/2023,Cypher,Icebox,Win,12,9,6,15,8,0.4,142,Sentinel,1,2023-04-21,0.5017196887696677,777,0.4074074074074074,189.14814814814815,1.2345552157991344,0.4
22,4/21/2023,Cypher,Ascent,Win,13,4,7,10,4,0.7,125,Sentinel,1,2023-04-21,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.6
25,4/21/2023,Cypher,Pearl,Win,13,7,15,10,6,1.5,193,Sentinel,1,2023-04-21,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.8
20,4/21/2023,Cypher,Lotus,Loss,5,13,7,15,1,0.4666666666666667,103,Sentinel,0,2023-04-21,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.8
21,4/21/2023,Cypher,Ascent,Win,4,0,1,1,1,1.0,81,Sentinel,1,2023-04-21,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.8
23,4/21/2023,Cypher,Haven,Win,13,5,14,11,7,1.2727272727272727,206,Sentinel,1,2023-04-21,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.8
24,4/21/2023,Cypher,Fracture,Win,15,13,23,20,7,1.15,236,Sentinel,1,2023-04-21,0.5017196887696677,777,0.54,202.08,1.2345552157991344,0.8
26,4/22/2023,Cypher,Icebox,Win,13,2,8,10,4,0.8,139,Sentinel,1,2023-04-22,0.5017196887696677,777,0.4074074074074074,189.14814814814815,1.2345552157991344,0.8
27,4/22/2023,Cypher,Split,Draw,15,15,35,21,8,1.6666666666666667,324,Sentinel,0,2023-04-22,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.8
29,4/23/2023,Cypher,Ascent,Loss,5,13,11,15,2,0.7333333333333333,202,Sentinel,0,2023-04-23,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.6
28,4/23/2023,Cypher,Fracture,Win,13,10,12,16,4,0.75,145,Sentinel,1,2023-04-23,0.5017196887696677,777,0.54,202.08,1.2345552157991344,0.6
32,4/28/2023,Cypher,Pearl,Win,14,12,17,20,6,0.85,207,Sentinel,1,2023-04-28,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.6
31,4/28/2023,Cypher,Pearl,Loss,8,13,14,15,4,0.9333333333333332,184,Sentinel,0,2023-04-28,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.4
30,4/28/2023,Cypher,Fracture,Loss,12,14,22,19,5,1.1578947368421053,256,Sentinel,0,2023-04-28,0.5017196887696677,777,0.54,202.08,1.2345552157991344,0.4
33,4/28/2023,Cypher,Haven,Loss,12,14,15,18,7,0.8333333333333334,156,Sentinel,0,2023-04-28,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.4
34,4/29/2023,Cypher,Lotus,Win,13,11,21,14,4,1.5,234,Sentinel,1,2023-04-29,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.4
37,5/2/2023,Cypher,Split,Win,13,7,14,14,8,1.0,192,Sentinel,1,2023-05-02,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.4
35,5/2/2023,Cypher,Fracture,Loss,6,13,6,17,4,0.3529411764705882,123,Sentinel,0,2023-05-02,0.5017196887696677,777,0.54,202.08,1.2345552157991344,0.4
36,5/2/2023,Cypher,Bind,Loss,8,13,8,15,1,0.5333333333333333,108,Sentinel,0,2023-05-02,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.4
46,5/4/2023,Cypher,Haven,Win,13,6,9,12,4,0.75,150,Sentinel,1,2023-05-04,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.6
38,5/4/2023,Cypher,Pearl,Loss,10,13,18,14,5,1.2857142857142858,212,Sentinel,0,2023-05-04,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.4
39,5/4/2023,Cypher,Ascent,Loss,5,13,13,15,2,0.8666666666666667,202,Sentinel,0,2023-05-04,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.2
40,5/4/2023,Cypher,Lotus,Loss,11,13,14,17,0,0.8235294117647058,174,Sentinel,0,2023-05-04,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.2
41,5/4/2023,Cypher,Ascent,Loss,7,13,11,18,2,0.6111111111111112,154,Sentinel,0,2023-05-04,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.2
42,5/4/2023,Cypher,Split,Win,13,9,23,13,7,1.7692307692307692,274,Sentinel,1,2023-05-04,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.2
43,5/4/2023,Cypher,Bind,Win,13,1,13,2,4,6.5,213,Sentinel,1,2023-05-04,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.4
44,5/4/2023,Cypher,Haven,Win,13,7,18,13,4,1.3846153846153846,260,Sentinel,1,2023-05-04,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.6
45,5/4/2023,Cypher,Bind,Win,13,9,15,13,10,1.1538461538461535,230,Sentinel,1,2023-05-04,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.8
1661,5/4/2023,Cypher,Pearl,Loss,4,10,9,18,9,0.5,9,Sentinel,0,2023-05-04,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.8
55,5/4/2023,Cypher,Ascent,Win,13,10,15,17,5,0.8823529411764706,201,Sentinel,1,2023-05-04,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.8
54,5/4/2023,Cypher,Split,Loss,6,13,9,15,1,0.6,115,Sentinel,0,2023-05-04,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.6
53,5/4/2023,Cypher,Bind,Win,13,11,16,17,8,0.9411764705882352,212,Sentinel,1,2023-05-04,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.6
52,5/4/2023,Cypher,Split,Loss,11,13,15,20,6,0.75,172,Sentinel,0,2023-05-04,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.4
51,5/4/2023,Cypher,Pearl,Win,13,7,17,13,9,1.3076923076923077,211,Sentinel,1,2023-05-04,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.6
50,5/4/2023,Cypher,Lotus,Win,13,2,27,6,8,4.5,493,Sentinel,1,2023-05-04,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.6
49,5/4/2023,Cypher,Lotus,Loss,5,13,18,16,4,1.125,275,Sentinel,0,2023-05-04,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.6
48,5/4/2023,Cypher,Ascent,Win,13,10,14,17,6,0.8235294117647058,184,Sentinel,1,2023-05-04,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.6
47,5/4/2023,Cypher,Split,Win,14,12,16,16,5,1.0,170,Sentinel,1,2023-05-04,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.8
57,5/5/2023,Cypher,Lotus,Loss,7,13,13,17,3,0.7647058823529411,198,Sentinel,0,2023-05-05,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.6
56,5/5/2023,Cypher,Haven,Win,13,8,14,12,7,1.1666666666666667,181,Sentinel,1,2023-05-05,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.6
60,5/7/2023,Cypher,Fracture,Loss,13,15,20,19,6,1.0526315789473684,215,Sentinel,0,2023-05-07,0.5017196887696677,777,0.54,202.08,1.2345552157991344,0.6
58,5/7/2023,Cypher,Pearl,Loss,9,13,9,15,3,0.6,132,Sentinel,0,2023-05-07,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.4
59,5/7/2023,Cypher,Pearl,Win,14,12,20,20,4,1.0,234,Sentinel,1,2023-05-07,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.4
68,5/8/2023,Cypher,Haven,Loss,6,13,23,15,3,1.5333333333333334,333,Sentinel,0,2023-05-08,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.4
72,5/8/2023,Cypher,Pearl,Win,13,7,13,13,5,1.0,194,Sentinel,1,2023-05-08,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.4
71,5/8/2023,Cypher,Lotus,Loss,11,13,15,19,6,0.7894736842105263,190,Sentinel,0,2023-05-08,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.4
70,5/8/2023,Cypher,Bind,Win,13,5,17,11,9,1.5454545454545454,254,Sentinel,1,2023-05-08,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.6
69,5/8/2023,Cypher,Fracture,Win,14,12,21,17,6,1.2352941176470589,238,Sentinel,1,2023-05-08,0.5017196887696677,777,0.54,202.08,1.2345552157991344,0.6
67,5/8/2023,Cypher,Haven,Win,13,3,7,6,3,1.1666666666666667,114,Sentinel,1,2023-05-08,0.5017196887696677,777,0.45,196.55,1.2345552157991344,0.8
66,5/8/2023,Cypher,Pearl,Loss,5,13,14,18,6,0.7777777777777778,179,Sentinel,0,2023-05-08,0.5017196887696677,777,0.5121951219512195,188.82926829268294,1.2345552157991344,0.6
61,5/8/2023,Cypher,Ascent,Loss,5,13,13,16,6,0.8125,209,Sentinel,0,2023-05-08,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.6
62,5/8/2023,Cypher,Bind,Win,13,9,20,13,6,1.5384615384615383,258,Sentinel,1,2023-05-08,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.6
63,5/8/2023,Cypher,Bind,Loss,8,13,16,14,5,1.1428571428571428,213,Sentinel,0,2023-05-08,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.4
64,5/8/2023,Cypher,Lotus,Win,13,8,18,12,8,1.5,248,Sentinel,1,2023-05-08,0.5017196887696677,777,0.5083333333333333,212.3,1.2345552157991344,0.4
73,5/8/2023,Cypher,Ascent,Win,13,4,8,11,8,0.7272727272727273,125,Sentinel,1,2023-05-08,0.5017196887696677,777,0.5151515151515151,194.22222222222223,1.2345552157991344,0.6
65,5/8/2023,Cypher,Split,Win,13,5,6,9,5,0.6666666666666666,89,Sentinel,1,2023-05-08,0.5017196887696677,777,0.45161290322580644,204.58064516129033,1.2345552157991344,0.8
75,5/9/2023,Cypher,Bind,Win,13,6,17,8,4,2.125,249,Sentinel,1,2023-05-09,0.5017196887696677,777,0.4755244755244755,203.34965034965035,1.2345552157991344,0.8
