game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag,role,win_loss_margin,performance
724,8,3,Ascendant 1,6/22/2024,Cypher,Lotus,Loss,1,13,7,14,4,0.5,-41,32,132,166,4,Sentinel,-12,2
55,6,3,Gold 3,5/4/2023,Cypher,Ascent,Win,13,10,15,17,5,0.8823529411764706,19,14,133,201,4,Sentinel,3,6
1827,7,2,Ascendant 1,6/26/2024,Fade,Abyss,Loss,4,14,4,5,4,0.8,-39,83,9,195,4,Initiator,-10,3
1288,9,2,Diamond 1,3/27/2024,Fade,Breeze,Loss,0,13,7,6,2,1.1666666666666667,-28,83,192,226,0,Initiator,-13,3
227,7,1,Placement,6/30/2023,Killjoy,Haven,Win,13,11,21,16,5,1.3125,24,30,165,256,2,Sentinel,2,7
330,7,1,Platinum 3,7/29/2023,Cypher,Fracture,Win,13,8,15,11,9,1.3636363636363635,31,16,150,213,4,Sentinel,5,7
709,8,3,Ascendant 1,6/12/2024,Cypher,Sunset,Win,5,1,3,2,2,1.5,17,13,94,134,4,Sentinel,4,5
774,9,1,Diamond 2,7/26/2024,Cypher,Ascent,Win,13,8,20,10,3,2.0,54,33,150,248,3,Sentinel,5,8
418,7,2,Platinum 3,9/10/2023,Cypher,Haven,Win,13,7,13,12,7,1.0833333333333333,-13,18,105,181,4,Sentinel,6,7
919,9,2,Ascendant 1,9/23/2024,Killjoy,Lotus,Win,15,13,18,14,4,1.2857142857142858,23,29,126,189,3,Sentinel,2,6
957,9,2,Ascendant 1,10/21/2024,Killjoy,Haven,Loss,7,13,7,16,3,0.4375,-61,16,83,119,4,Sentinel,-6,2
1214,9,3,Ascendant 2,03/06/2026,Phoenix,Sunset,Loss,2,10,12,15,9,0.8,-2,99,221,175,0,Duelist,-8,3
908,9,2,Ascendant 1,9/21/2024,Cypher,Bind,Draw,14,14,18,17,8,1.0588235294117647,10,20,114,175,4,Sentinel,0,5
952,9,2,Ascendant 2,10/14/2024,Viper,Icebox,Loss,10,13,14,18,5,0.7777777777777778,-23,17,111,175,3,Controller,-3,4
727,8,3,Ascendant 1,6/22/2024,Cypher,Icebox,Win,14,12,26,13,3,2.0,89,43,187,278,1,Sentinel,2,8
1551,6,3,Ascendant 2,9/15/2024,Brimstone,Pearl,Win,10,2,14,18,3,0.7777777777777778,-49,36,109,36,3,Controller,8,3
768,9,1,Diamond 2,7/23/2024,Cypher,Icebox,Win,14,12,10,19,4,0.5263157894736842,-63,21,71,113,5,Sentinel,2,4
916,9,2,Ascendant 2,9/22/2024,Cypher,Sunset,Loss,12,14,13,17,7,0.7647058823529411,-33,28,90,154,4,Sentinel,-2,4
602,8,1,Diamond 3,3/2/2024,Cypher,Split,Loss,10,13,16,17,1,0.9411764705882352,-17,28,116,178,4,Sentinel,-3,4
607,8,1,Placement,3/3/2024,Cypher,Ascent,Win,13,10,17,15,13,1.1333333333333333,36,30,150,212,4,Sentinel,3,7
1801,8,1,Gold 3,2/16/2024,Omen,Icebox,Win,11,5,11,10,8,1.1,-31,18,118,129,7,Controller,6,5
767,9,1,Diamond 2,7/23/2024,Cypher,Icebox,Win,13,10,15,17,7,0.8823529411764706,-2,25,145,206,3,Sentinel,3,6
328,7,1,Platinum 3,7/29/2023,Killjoy,Split,Win,13,10,18,11,3,1.6363636363636365,42,16,140,218,4,Sentinel,3,7
519,7,3,Diamond 3,1/3/2024,Cypher,Bind,Win,13,7,10,9,5,1.1111111111111112,7,33,93,144,5,Sentinel,6,6
826,9,1,Diamond 3,8/13/2024,Cypher,Sunset,Loss,11,13,16,19,3,0.8421052631578947,-8,31,117,180,2,Sentinel,-2,5
259,7,1,Platinum 1,7/12/2023,Cypher,Bind,Loss,9,13,13,17,1,0.7647058823529411,-38,17,104,161,4,Sentinel,-4,4
441,7,3,Diamond 1,11/4/2023,Cypher,Breeze,Loss,4,13,12,16,1,0.75,-64,27,123,205,1,Sentinel,-9,3
817,9,1,Ascendant 1,8/11/2024,Cypher,Haven,Loss,0,13,3,13,5,0.2307692307692307,-88,14,91,115,5,Sentinel,-13,0
1708,9,3,Silver 3,5/21/2024,Fade,Lotus,Loss,9,10,6,7,9,0.8571428571428571,3,85,98,224,0,Initiator,-1,6
234,7,1,Gold 2,7/5/2023,Cypher,Bind,Win,13,10,20,16,7,1.25,29,22,167,241,4,Sentinel,3,7
1533,6,1,Gold 1,9/17/2024,Viper,Breeze,Loss,10,14,18,23,7,0.782608695652174,-16,94,150,126,3,Controller,-4,3
1679,7,3,Silver 3,8/19/2023,KAY/O,Ascent,Loss,3,10,12,14,9,0.8571428571428571,46,5,182,5,4,Initiator,-7,-1
60,6,3,Gold 2,5/7/2023,Cypher,Fracture,Loss,13,15,20,19,6,1.0526315789473684,7,8,146,215,2,Sentinel,-2,5
194,6,3,Platinum 3,6/18/2023,Cypher,Pearl,Win,15,13,19,21,5,0.9047619047619048,-13,8,120,185,4,Sentinel,2,6
535,8,1,Placement,1/12/2024,Cypher,Icebox,Loss,5,13,15,12,4,1.25,-3,16,121,222,1,Sentinel,-8,4
446,7,3,Diamond 1,11/4/2023,Cypher,Sunset,Loss,6,13,16,17,3,0.9411764705882352,26,25,183,272,2,Sentinel,-7,6
843,9,1,Diamond 3,8/16/2024,Killjoy,Ascent,Loss,5,13,21,14,2,1.5,53,32,204,338,1,Sentinel,-8,7
628,8,2,Ascendant 2,3/16/2024,Cypher,Lotus,Win,13,1,15,6,3,2.5,100,29,182,289,2,Sentinel,12,11
707,8,3,Ascendant 1,6/11/2024,Cypher,Sunset,Win,13,10,24,12,3,2.0,93,33,195,277,1,Sentinel,3,8
356,7,1,Diamond 1,8/20/2023,Cypher,Lotus,Win,13,10,16,13,5,1.2307692307692308,33,25,128,184,4,Sentinel,3,6
1585,8,3,Platinum 3,5/18/2023,Phoenix,Sunset,Draw,3,3,20,4,5,5.0,25,87,83,187,4,Duelist,0,5
1898,8,2,Diamond 2,8/6/2024,Fade,Breeze,Win,11,10,12,15,2,0.8,-20,78,129,43,2,Initiator,1,2
1037,8,2,Placement,6/10/2024,Fade,Sunset,Loss,7,10,9,11,3,0.8181818181818182,46,93,225,65,10,Initiator,-3,1
468,7,3,Diamond 1,11/18/2023,Cypher,Sunset,Loss,10,13,14,16,3,0.875,-10,22,123,173,4,Sentinel,-3,4
1617,9,3,Gold 2,11/19/2023,Brimstone,Haven,Win,13,6,10,18,2,0.5555555555555556,-41,19,108,279,7,Controller,7,9
1349,6,3,Diamond 1,8/11/2024,Fade,Lotus,Loss,10,15,2,3,7,0.6666666666666666,-15,71,106,118,10,Initiator,-5,2
605,8,1,Diamond 3,3/3/2024,Cypher,Sunset,Win,13,5,14,8,6,1.75,55,15,145,204,4,Sentinel,8,8
789,9,1,Diamond 3,8/3/2024,Cypher,Sunset,Draw,15,15,19,20,7,0.95,-9,30,125,181,5,Sentinel,0,5
806,9,1,Diamond 3,8/7/2024,Cypher,Haven,Win,13,5,9,11,10,0.8181818181818182,-13,20,115,182,5,Sentinel,8,7
1896,7,3,Diamond 2,7/9/2023,Omen,Ascent,Win,8,1,6,8,8,0.75,18,68,111,55,8,Controller,7,4
497,7,3,Diamond 2,12/5/2023,Killjoy,Split,Loss,8,13,16,16,4,1.0,17,14,152,228,2,Sentinel,-5,5
84,6,3,Gold 3,5/17/2023,Cypher,Lotus,Loss,9,13,22,18,6,1.2222222222222223,27,18,194,287,1,Sentinel,-4,7
811,9,1,Ascendant 1,8/9/2024,Killjoy,Icebox,Loss,11,13,13,17,2,0.7647058823529411,-17,22,113,181,3,Sentinel,-2,5
302,7,1,Platinum 2,7/22/2023,Cypher,Lotus,Loss,7,13,10,18,6,0.5555555555555556,-85,16,79,137,1,Sentinel,-6,2
971,9,3,Diamond 3,10/25/2024,Killjoy,Split,Win,13,6,14,8,4,1.75,44,14,135,206,4,Sentinel,7,7
795,9,1,Diamond 3,8/5/2024,Cypher,Ascent,Win,13,9,22,12,6,1.8333333333333333,83,26,198,277,2,Sentinel,4,8
1812,6,1,Diamond 2,7/24/2024,Omen,Ascent,Win,14,12,17,22,4,0.7727272727272727,-21,85,115,261,3,Controller,2,8
250,7,1,Gold 3,7/9/2023,Killjoy,Split,Win,13,6,22,7,0,3.142857142857143,93,16,181,273,1,Sentinel,7,9
480,7,3,Diamond 1,11/25/2023,Cypher,Bind,Win,13,9,19,15,7,1.2666666666666666,-2,27,147,250,2,Sentinel,4,8
902,9,2,Ascendant 1,9/20/2024,Cypher,Abyss,Win,13,4,15,7,5,2.142857142857143,64,29,145,237,4,Sentinel,9,9
889,9,2,Ascendant 1,9/15/2024,Cypher,Sunset,Loss,2,13,8,13,3,0.6153846153846154,-38,16,104,153,3,Sentinel,-11,2
986,9,3,Diamond 3,11/1/2024,Killjoy,Split,Loss,9,13,15,15,1,1.0,-16,18,108,185,2,Sentinel,-4,4
1911,6,3,Placement,02/15/2026,Breach,Bind,Win,4,2,17,12,2,1.4166666666666667,5,12,71,111,10,Initiator,2,4
862,9,2,Ascendant 1,9/3/2024,Cypher,Abyss,Win,13,3,15,7,5,2.142857142857143,75,31,157,249,3,Sentinel,10,9
99,6,3,Gold 3,5/19/2023,Cypher,Fracture,Win,13,3,17,6,6,2.833333333333333,68,14,147,263,1,Sentinel,10,10
107,6,3,Gold 3,5/19/2023,Cypher,Ascent,Loss,5,13,16,15,1,1.0666666666666669,1,18,145,252,1,Sentinel,-8,5
1132,6,1,Ascendant 1,7/5/2023,Killjoy,Lotus,Loss,12,14,13,16,7,0.8125,20,42,204,23,3,Sentinel,-2,1
164,6,3,Platinum 1,6/5/2023,Cypher,Bind,Win,13,9,12,14,5,0.8571428571428571,-22,6,99,154,5,Sentinel,4,5
539,8,1,Platinum 1,1/15/2024,Cypher,Bind,Loss,8,13,19,17,7,1.1176470588235294,42,26,180,260,2,Sentinel,-5,6
1833,7,1,Placement,3/16/2024,Astra,Fracture,Draw,13,13,12,20,0,0.6,44,7,89,93,5,Controller,0,3
1241,9,2,Ascendant 1,11/16/2023,Viper,Lotus,Loss,8,9,14,18,0,0.7777777777777778,20,85,11,222,10,Controller,-1,6
1480,9,3,Gold 3,7/24/2023,Killjoy,Breeze,Win,14,1,3,10,5,0.3,3,38,247,181,3,Sentinel,13,8
818,9,1,Ascendant 1,8/11/2024,Killjoy,Ascent,Loss,11,13,18,15,5,1.2,15,22,126,207,3,Sentinel,-2,5
1512,9,2,Silver 3,8/2/2024,Omen,Split,Win,9,2,20,26,0,0.7692307692307693,-14,88,18,240,2,Controller,7,8
976,9,3,Diamond 3,10/30/2024,Cypher,Bind,Loss,10,13,12,15,6,0.8,-33,28,90,145,3,Sentinel,-3,3
934,9,2,Ascendant 2,10/5/2024,Cypher,Sunset,Loss,11,13,19,16,4,1.1875,22,41,154,232,1,Sentinel,-2,6
307,7,1,Platinum 3,7/23/2023,Cypher,Fracture,Loss,9,13,13,16,6,0.8125,-2,17,119,172,4,Sentinel,-4,4
1113,7,1,Silver 2,11/7/2024,Cypher,Haven,Draw,5,5,20,9,9,2.2222222222222223,-4,83,235,113,6,Sentinel,0,3
115,6,3,Gold 3,5/22/2023,Cypher,Fracture,Loss,7,13,14,15,3,0.9333333333333332,10,16,147,221,2,Sentinel,-6,5
67,6,3,Gold 3,5/8/2023,Cypher,Haven,Win,13,3,7,6,3,1.1666666666666667,-21,10,70,114,5,Sentinel,10,6
633,8,2,Ascendant 2,3/17/2024,Cypher,Ascent,Win,14,12,15,19,12,0.7894736842105263,25,26,150,192,4,Sentinel,2,6
1498,8,3,Ascendant 2,10/31/2024,Omen,Ascent,Win,5,2,14,3,10,4.666666666666667,9,28,47,33,5,Controller,3,2
142,6,3,Platinum 1,5/30/2023,Cypher,Haven,Loss,8,13,12,17,5,0.7058823529411765,-16,9,125,180,4,Sentinel,-5,4
89,6,3,Gold 3,5/17/2023,Cypher,Ascent,Win,13,8,13,13,5,1.0,-14,13,101,158,2,Sentinel,5,6
949,9,2,Ascendant 2,10/14/2024,Killjoy,Lotus,Win,13,6,13,10,8,1.3,24,22,136,195,4,Sentinel,7,7
1949,6,2,Silver 2,8/2/2024,Breach,Icebox,Loss,3,6,14,6,3,2.333333333333333,-40,10,240,207,1,Initiator,-3,5
1055,6,1,Ascendant 1,02/17/2026,Cypher,Lotus,Draw,4,4,1,6,8,0.1666666666666666,-49,7,161,114,8,Sentinel,0,3
537,8,1,Placement,1/13/2024,Cypher,Split,Loss,11,13,17,18,8,0.9444444444444444,9,17,139,211,3,Sentinel,-2,5
672,8,3,Diamond 3,5/23/2024,Cypher,Bind,Loss,14,16,17,21,6,0.8095238095238095,-17,23,108,158,5,Sentinel,-2,4
922,9,2,Ascendant 1,9/24/2024,Cypher,Sunset,Loss,9,13,15,13,3,1.1538461538461535,21,27,134,184,5,Sentinel,-4,4
1253,8,1,Platinum 3,9/2/2024,Vyse,Fracture,Draw,2,2,19,9,10,2.111111111111111,-42,9,92,256,4,Sentinel,0,7
688,8,3,Diamond 3,6/3/2024,Cypher,Ascent,Loss,8,13,17,15,7,1.1333333333333333,40,24,170,260,2,Sentinel,-5,6
444,7,3,Diamond 1,11/4/2023,Cypher,Lotus,Win,13,11,24,15,6,1.6,74,31,189,280,1,Sentinel,2,8
1894,6,3,Diamond 2,10/14/2024,Cypher,Abyss,Win,9,7,12,10,1,1.2,-8,69,1,182,1,Sentinel,2,6
772,9,1,Diamond 3,7/25/2024,Cypher,Bind,Loss,10,13,19,15,4,1.2666666666666666,22,29,133,216,2,Sentinel,-3,5
74,6,3,Gold 3,5/9/2023,Cypher,Split,Loss,7,13,21,11,4,1.9090909090909087,86,19,200,299,1,Sentinel,-6,6
812,9,1,Ascendant 1,8/9/2024,Killjoy,Lotus,Loss,7,13,5,15,2,0.3333333333333333,-46,21,92,103,5,Sentinel,-6,2
816,9,1,Ascendant 1,8/11/2024,Killjoy,Ascent,Loss,9,13,14,19,4,0.7368421052631579,-41,20,123,200,3,Sentinel,-4,5
291,7,1,Platinum 2,7/19/2023,Killjoy,Haven,Loss,9,13,18,16,4,1.125,35,26,168,226,3,Sentinel,-4,5
251,7,1,Gold 3,7/9/2023,Cypher,Fracture,Win,13,11,11,19,7,0.5789473684210527,-46,18,95,140,4,Sentinel,2,5
260,7,1,Platinum 1,7/12/2023,Killjoy,Pearl,Win,13,10,24,13,9,1.8461538461538465,71,8,184,307,1,Sentinel,3,9
938,9,2,Ascendant 1,10/6/2024,Killjoy,Icebox,Loss,10,13,17,17,3,1.0,2,21,131,190,3,Sentinel,-3,5
114,6,3,Gold 3,5/22/2023,Cypher,Ascent,Loss,3,13,12,13,5,0.9230769230769232,40,17,155,240,2,Sentinel,-10,4
185,6,3,Platinum 2,6/15/2023,Cypher,Fracture,Win,13,6,16,9,1,1.7777777777777777,31,20,131,211,2,Sentinel,7,8
1864,6,3,Platinum 3,5/23/2023,Phoenix,Fracture,Loss,11,13,9,20,10,0.45,-48,57,26,214,1,Duelist,-2,5
807,9,1,Diamond 3,8/7/2024,Killjoy,Icebox,Loss,7,13,13,16,3,0.8125,-3,40,126,189,4,Sentinel,-6,4
52,6,3,Gold 2,5/4/2023,Cypher,Split,Loss,11,13,15,20,6,0.75,-50,8,113,172,3,Sentinel,-2,4
126,6,3,Gold 3,5/23/2023,Cypher,Haven,Win,13,6,18,11,2,1.6363636363636365,38,14,154,261,3,Sentinel,7,9
461,7,3,Diamond 1,11/16/2023,Cypher,Breeze,Loss,9,13,14,15,2,0.9333333333333332,3,20,139,192,4,Sentinel,-4,4
750,9,1,Diamond 1,7/1/2024,Cypher,Icebox,Loss,5,13,11,15,1,0.7333333333333333,-12,39,137,194,2,Sentinel,-8,3
1266,6,3,Gold 2,5/22/2023,Brimstone,Breeze,Win,11,5,18,3,6,6.0,-1,43,22,222,7,Controller,6,8
689,8,3,Diamond 3,6/3/2024,Cypher,Ascent,Loss,7,13,15,17,4,0.8823529411764706,-41,18,115,197,2,Sentinel,-6,4
967,9,3,Ascendant 1,10/24/2024,Cypher,Pearl,Loss,9,13,15,14,1,1.0714285714285714,0,21,128,180,4,Sentinel,-4,4
292,7,1,Platinum 2,7/19/2023,Cypher,Bind,Win,13,7,12,11,6,1.0909090909090908,22,30,118,177,4,Sentinel,6,6
348,7,1,Diamond 1,8/19/2023,Cypher,Lotus,Win,13,4,14,10,5,1.4,30,24,141,231,3,Sentinel,9,9
350,7,1,Diamond 1,8/19/2023,Cypher,Bind,Win,13,9,19,13,5,1.4615384615384617,39,22,142,236,2,Sentinel,4,7
1922,8,2,Silver 3,9/13/2024,Omen,Haven,Loss,1,11,5,19,2,0.2631578947368421,-29,77,124,294,2,Controller,-10,5
1413,8,2,Diamond 1,9/10/2023,Vyse,Pearl,Win,4,3,17,11,3,1.5454545454545454,-40,77,151,191,5,Sentinel,1,6
219,6,3,Platinum 3,6/25/2023,Cypher,Pearl,Win,13,4,14,6,6,2.333333333333333,62,16,141,203,3,Sentinel,9,8
171,6,3,Platinum 2,6/11/2023,Cypher,Split,Loss,8,13,13,19,4,0.6842105263157895,-40,4,121,189,2,Sentinel,-5,4
1760,7,3,Platinum 2,3/14/2024,Cypher,Bind,Loss,2,10,15,10,4,1.5,12,69,168,270,7,Sentinel,-8,5
1954,7,3,Placement,7/30/2024,Cypher,Abyss,Draw,7,7,13,6,6,2.1666666666666665,21,85,119,160,3,Sentinel,0,5
58,6,3,Gold 2,5/7/2023,Cypher,Pearl,Loss,9,13,9,15,3,0.6,-43,12,90,132,5,Sentinel,-4,3
942,9,2,Ascendant 1,10/8/2024,Cypher,Abyss,Win,16,14,31,20,6,1.55,44,22,174,272,2,Sentinel,2,8
819,9,1,Diamond 3,8/11/2024,Cypher,Bind,Loss,7,13,9,17,4,0.5294117647058824,-67,37,82,136,5,Sentinel,-6,2
405,7,2,Platinum 3,9/8/2023,Killjoy,Split,Loss,4,13,8,15,2,0.5333333333333333,-25,20,111,164,3,Sentinel,-9,2
620,8,2,Ascendant 1,3/12/2024,Cypher,Bind,Win,13,10,11,15,10,0.7333333333333333,-14,24,102,161,4,Sentinel,3,5
561,8,1,Platinum 3,2/3/2024,Cypher,Ascent,Win,13,10,19,14,7,1.3571428571428572,41,37,148,231,2,Sentinel,3,7
360,7,1,Diamond 1,8/21/2023,Cypher,Fracture,Loss,6,13,16,16,3,1.0,9,19,164,248,2,Sentinel,-7,5
425,7,2,Diamond 1,10/6/2023,Cypher,Bind,Win,13,8,13,14,5,0.9285714285714286,18,23,114,174,4,Sentinel,5,6
588,8,1,Diamond 3,2/17/2024,Cypher,Icebox,Loss,6,13,8,14,5,0.5714285714285714,-54,20,86,135,4,Sentinel,-7,2
77,6,3,Gold 3,5/9/2023,Cypher,Bind,Draw,15,15,17,19,9,0.8947368421052632,-2,19,115,173,4,Sentinel,0,5
1868,6,1,Gold 2,2/5/2024,Cypher,Breeze,Loss,14,15,17,9,9,1.8888888888888888,49,16,74,57,0,Sentinel,-1,2
1101,7,2,Diamond 3,03/14/2026,Killjoy,Bind,Draw,14,14,8,5,5,1.6,48,13,229,223,9,Sentinel,0,6
906,9,2,Ascendant 1,9/21/2024,Cypher,Sunset,Win,13,8,12,13,8,0.9230769230769232,-15,16,118,169,5,Sentinel,5,6
210,6,3,Platinum 3,6/25/2023,Cypher,Split,Win,13,8,10,15,12,0.6666666666666666,-8,19,112,171,5,Sentinel,5,6
686,8,3,Ascendant 1,6/3/2024,Cypher,Sunset,Win,13,6,17,13,2,1.3076923076923077,42,32,165,252,2,Sentinel,7,9
382,7,1,Diamond 1,8/24/2023,Killjoy,Pearl,Win,13,6,16,14,4,1.1428571428571428,18,32,156,220,3,Sentinel,7,8
946,9,2,Ascendant 2,10/11/2024,Cypher,Bind,Win,13,10,20,14,5,1.4285714285714286,45,25,153,240,2,Sentinel,3,7
642,8,2,Ascendant 2,3/21/2024,Cypher,Ascent,Loss,6,13,13,16,3,0.8125,-35,28,106,173,2,Sentinel,-7,3
303,7,1,Platinum 2,7/22/2023,Cypher,Bind,Loss,11,13,19,16,3,1.1875,18,23,133,200,3,Sentinel,-2,5
907,9,2,Ascendant 1,9/21/2024,Killjoy,Lotus,Loss,8,13,10,16,3,0.625,-21,15,120,167,4,Sentinel,-5,3
650,8,2,Ascendant 2,3/22/2024,Viper,Icebox,Win,13,10,7,19,6,0.3684210526315789,-63,29,77,104,5,Controller,3,4
1524,8,2,Platinum 1,8/3/2024,Killjoy,Split,Loss,6,12,20,18,8,1.1111111111111112,43,80,74,276,3,Sentinel,-6,6
1186,9,3,Platinum 3,6/8/2024,Vyse,Pearl,Win,8,0,5,6,2,0.8333333333333334,-38,32,232,161,7,Sentinel,8,7
376,7,1,Diamond 1,8/23/2023,Killjoy,Haven,Loss,4,13,13,17,2,0.7647058823529411,-27,10,147,244,2,Sentinel,-9,4
571,8,1,Diamond 2,2/6/2024,Cypher,Lotus,Win,14,12,17,16,8,1.0625,23,29,133,193,4,Sentinel,2,6
388,7,2,Diamond 1,8/31/2023,Cypher,Lotus,Loss,4,13,6,14,1,0.4285714285714285,-77,24,74,112,5,Sentinel,-9,1
1746,8,3,Ascendant 1,6/12/2023,Fade,Breeze,Loss,7,12,14,6,10,2.333333333333333,-12,7,116,224,0,Initiator,-5,5
118,6,3,Gold 3,5/22/2023,Cypher,Split,Win,13,9,9,13,9,0.6923076923076923,-18,11,96,130,5,Sentinel,4,5
253,7,1,Gold 3,7/9/2023,Killjoy,Ascent,Loss,6,13,7,17,1,0.4117647058823529,-75,4,78,121,4,Sentinel,-7,2
169,6,3,Platinum 2,6/11/2023,Cypher,Lotus,Win,13,6,20,14,6,1.4285714285714286,32,22,175,305,2,Sentinel,7,10
968,9,3,Diamond 3,10/24/2024,Cypher,Abyss,Loss,12,14,17,18,5,0.9444444444444444,-25,29,105,171,3,Sentinel,-2,4
876,9,2,Ascendant 1,9/12/2024,Vyse,Sunset,Loss,8,13,12,16,5,0.75,-38,31,118,173,4,Sentinel,-5,4
1304,9,3,Diamond 1,5/17/2023,Phoenix,Sunset,Loss,7,8,3,17,1,0.1764705882352941,-3,84,78,92,0,Duelist,-1,3
1714,6,3,Gold 2,4/15/2023,Cypher,Icebox,Loss,5,12,4,2,8,2.0,42,32,218,144,9,Sentinel,-7,2
917,9,2,Ascendant 2,9/22/2024,Killjoy,Icebox,Loss,10,13,20,15,2,1.3333333333333333,41,21,156,250,1,Sentinel,-3,6
1915,8,2,Ascendant 1,5/29/2023,Breach,Breeze,Loss,7,8,11,14,9,0.7857142857142857,-33,48,230,13,7,Initiator,-1,1
1630,8,1,Gold 1,10/3/2024,Fade,Bind,Loss,2,12,14,17,9,0.8235294117647058,15,3,164,102,9,Initiator,-10,1
458,7,3,Diamond 1,11/15/2023,Cypher,Bind,Loss,9,13,17,16,5,1.0625,0,30,138,217,3,Sentinel,-4,5
176,6,3,Platinum 2,6/13/2023,Cypher,Haven,Win,13,9,16,15,5,1.0666666666666669,0,20,123,188,3,Sentinel,4,6
1899,9,1,Diamond 2,1/12/2024,Fade,Split,Win,11,5,20,12,7,1.6666666666666667,-46,75,37,180,5,Initiator,6,7
29,6,2,Gold 1,4/23/2023,Cypher,Ascent,Loss,5,13,11,15,2,0.7333333333333333,-13,8,129,202,3,Sentinel,-8,4
1436,6,2,Platinum 3,2/5/2024,Viper,Lotus,Win,15,8,14,16,7,0.875,45,91,42,199,1,Controller,7,7
853,9,1,Diamond 3,8/20/2024,Cypher,Abyss,Win,13,11,14,18,4,0.7777777777777778,-18,33,112,169,4,Sentinel,2,5
741,8,3,Ascendant 1,6/25/2024,Cypher,Bind,Win,13,10,22,15,4,1.4666666666666666,40,29,164,263,2,Sentinel,3,8
901,9,2,Ascendant 1,9/20/2024,Killjoy,Haven,Loss,7,13,16,15,0,1.0666666666666669,39,30,161,232,1,Sentinel,-6,5
569,8,1,Diamond 1,2/5/2024,Cypher,Split,Win,13,11,18,14,4,1.2857142857142858,10,18,132,214,3,Sentinel,2,6
778,9,1,Diamond 3,7/29/2024,Cypher,Abyss,Loss,4,13,16,15,2,1.0666666666666669,16,22,172,281,1,Sentinel,-9,5
1949,6,2,Silver 3,5/20/2023,Cypher,Ascent,Win,9,7,8,8,6,1.0,13,97,247,147,4,Sentinel,2,5
237,7,1,Gold 3,7/6/2023,Killjoy,Split,Win,13,11,20,17,6,1.1764705882352942,24,7,151,235,2,Sentinel,2,7
1967,8,1,Ascendant 2,5/30/2023,Phoenix,Breeze,Win,13,7,18,20,4,0.9,-31,1,127,160,9,Duelist,6,6
